parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.539398058,2.285554184,1.597495812,7.571254845,0.07939999,7.447384533,3.998193671,0.610084336,11.72270932,16.67027533,14.34882058,21.50789812,7.804766093,2.585399862,16.23344514,26.80092868,21.6736931,5.024979136,12.29745423,31.39344981,41.8702337,43.71268705,42.89321046,45.4830351,2.363261224,2.828841523,1,0.140111908,0,1
30,1.661243102,1.334536874,3.649460909,6.886870271,2.295406244,9.77593658,9.978507837,5.963489959,16.5740409,14.72083783,7.133716942,1.175562947,13.61426152,23.72555877,26.79379352,18.22157354,22.34569763,23.57487475,6.5529436,36.07939683,36.73919776,32.2698662,33.21710136,13.29801717,2.459406686,2.785722937,1,0.186543063,0,1
31,0.991262777,1.189616764,4.37458773,6.450248805,4.810917122,4.077909459,7.236565956,1.178933539,6.416043991,14.24084804,4.152549491,12.38153013,2.832543627,4.600394091,7.521214047,15.22545435,16.08565734,6.08267823,0.425173166,13.3817269,27.75787927,6.872867045,31.26233784,5.098906091,2.095531531,2.952350372,1,0.27994033,0,1
32,0.933074649,1.967500513,4.689364629,3.595388929,1.725228688,5.775493147,2.123463431,2.436821424,7.225477613,3.943907706,12.18172721,5.15047828,10.39569568,10.59903782,5.182978995,14.0916722,20.22796066,12.82714743,26.03515461,35.90339076,23.60557914,26.33387932,32.2561702,44.55481286,1.949221454,3.044265606,1,0.269026557,0,1
33,1.819967026,0.71466551,1.154565317,1.610457693,1.221540741,7.556056993,13.29937051,0.641525903,8.356194238,1.394057229,13.06456757,14.36593109,9.111809603,7.335775517,9.39970849,28.95712296,13.76958862,25.42923196,20.92049115,18.00551753,19.44585035,4.545183617,43.70145891,6.02381205,1.578799481,3.820360386,1,0.104550033,0,1
34,0.778623157,0.836528279,2.576641809,2.907754174,9.321614547,3.917565392,3.397958915,10.26083986,5.584036523,5.35473854,14.93720372,17.37562923,0.066124201,11.41486105,8.213034523,15.43967923,1.357876817,17.16492459,27.94481965,23.40559518,2.236383796,3.933197861,32.53537458,40.25037539,1.512673268,3.8911103,1,0.215682605,0,1
35,0.690284718,0.514987795,1.813040518,5.977245128,1.15270435,1.677780081,4.673844168,3.410782902,14.38649104,7.698812627,16.90607186,14.84410887,12.78791994,2.278397218,29.45203034,7.786030181,33.35453744,0.87452313,7.532141647,38.63602023,29.37927973,10.54178369,13.07098292,35.77142838,1.629233034,3.808454663,1,0.13071552,0,1
36,0.028007118,0.870444388,5.429074646,0.506171798,2.922990967,1.740314557,9.121631834,2.299306781,5.597418025,19.09563282,20.18510694,20.36513535,13.65706602,2.709672586,4.38974309,13.28331135,17.84565376,10.15333049,9.964299956,18.27912522,16.63213502,32.11812989,0.276346375,29.45854435,1.343485938,3.999909818,1,0.194771645,0,1
37,1.994369616,3.730229445,0.768746687,7.992324124,2.360889763,4.758968714,5.430750364,10.71593665,16.83970331,16.92621837,6.892017288,12.58915591,11.52977524,6.428162167,16.03241722,29.24678472,15.54496352,15.50514853,35.68685621,31.13556942,30.07076146,35.32133015,4.268837274,24.87132232,2.711598618,2.294971652,1,0.117334546,0,1
38,0.805495208,3.417753922,5.795428081,5.847162016,6.146011717,4.75277325,3.77572764,8.941307148,13.00466522,19.54218243,15.20135048,7.423514737,4.517919075,3.479334256,27.62049758,29.32325107,31.46288289,2.259185296,4.357714205,0.537924737,39.38421086,43.55840855,45.17192865,28.07978087,2.655730126,2.419358785,1,0.230278215,0,1
39,0.20401529,3.812484017,1.000882912,3.515235493,1.604163888,10.55126121,6.698304827,6.386454367,4.958463374,1.032824699,3.051721647,18.68732174,4.629387253,16.33627887,27.84371465,3.445243962,15.38990685,5.615729872,11.56001138,30.5649578,26.33072185,31.28819405,8.899186272,3.284690895,1.687228891,3.651516825,1,0.251055334,0,1
40,0.009326626,1.056813217,2.80426383,2.878529553,2.402176327,0.278024765,7.443353493,2.083115489,10.10626126,3.356615978,9.263644651,16.4325098,7.12140845,0.279992369,6.595988947,1.022599018,31.78565473,28.15531272,19.66857152,0.658510581,12.54960941,23.79165972,39.5546442,8.885486537,1.309972161,4.110623154,2,0.288660836,0,1
41,1.324323961,3.31191047,5.078978198,4.440365283,6.732462397,5.982991888,0.111690444,11.39304842,9.152572756,3.810788497,18.94401677,19.52962184,18.7518415,1.689281522,0.320346668,31.44947289,20.68252717,0.042554576,17.89817163,21.55941472,23.57570256,40.57284371,29.94142735,3.04972577,2.650230801,2.523185565,2,0.125251191,0,1
42,1.294733793,3.195414059,3.682347698,5.809455684,5.36336538,7.77062941,4.517139965,7.622431344,0.471960473,8.51142908,21.07240689,20.17831338,24.25795503,8.655525213,20.32860398,19.48981544,6.950638969,5.965983516,11.38583504,21.49382944,14.28012793,21.30592522,39.94503709,38.44322384,2.585475377,2.643786835,2,0.112766392,0,1
43,1.551700011,3.826125758,5.43653954,1.298160748,9.741275339,10.21132955,9.335064522,11.09809114,17.93896468,3.712129904,1.326168327,15.30031719,24.62626846,24.72343538,7.62297366,30.48475776,0.641961516,29.29300591,6.876626957,4.03259167,7.665832362,26.60705615,39.44620948,8.293246749,2.595145177,2.627792005,2,0.094700771,0,1
44,1.651393426,3.585119955,3.870871679,7.51003483,8.214118094,1.847753572,1.566607509,8.499843953,13.85707045,15.4074376,3.599336531,20.18458453,16.32617047,23.91243947,25.65675054,30.76180301,5.242198835,1.690337461,19.77412746,27.78737982,1.100402524,18.20867185,2.936841681,39.75444883,2.778243246,1.928960079,2,inf,0,1
45,1.784271737,1.510337381,3.230548169,5.218391026,3.612610237,6.852102746,8.929710704,2.021038095,12.42368262,12.95498792,7.786660023,18.31759338,9.269824641,21.07807381,26.44025487,0.373414226,16.93570837,2.656512402,29.90415601,2.562693087,14.92303526,41.44082571,17.47095135,36.62016323,2.318473118,2.946667842,2,0.124194472,0,1
46,1.256767835,2.957057909,4.938009887,2.270353953,9.739736507,5.183724622,1.633771532,3.518262975,3.8961921,7.691912981,20.50185463,6.952145937,7.414626092,13.78611402,2.000963571,19.10378931,27.07957029,0.147726199,1.312533307,27.33598493,29.30014661,37.70490404,19.34319264,8.547104072,2.323832525,2.927673931,2,0.083383844,0,1
47,0.419268394,0.453410972,2.150813655,2.169184998,9.081521672,5.975355726,13.58012235,15.69871606,5.757329591,0.698268556,0.075823266,9.266512192,8.245387608,9.515784031,6.989735916,14.83237009,24.92955783,12.98069406,34.32243737,24.03861838,4.6205409,7.494088948,2.61323905,8.828511714,1.282754599,4.27527645,2,inf,0,1
48,1.525146276,1.82112988,3.190958678,0.874688512,1.460327438,6.105464865,3.019103857,14.66309925,8.31874527,2.645345494,16.81331548,5.105608678,1.930719291,2.671738844,4.866165342,11.40683782,3.240465597,5.157468252,35.37849128,23.06336872,35.26509888,27.42485305,14.92780502,34.94455873,1.820298098,3.467112127,2,0.226513106,0,1
49,1.543342184,2.259470436,1.028621087,3.405322911,7.491975042,0.395529564,6.749366564,8.347612698,9.675234458,3.263531296,14.03770744,5.66878528,4.077065042,10.88125996,15.07970093,5.300242734,18.93587999,29.17609007,5.181114252,31.01407855,41.25445624,41.47197771,15.60461083,33.26818003,1.86979227,3.394072786,2,0.176392479,0,1
50,1.620585741,3.736636001,3.00022134,2.344034759,9.057355211,4.411215222,5.703950197,2.308631365,15.94169266,13.30767632,4.040947971,14.01719463,11.75033601,26.24166106,12.65499168,14.03323392,27.24720716,0.566198413,30.96344196,37.8653133,16.77242434,39.96876767,4.388060831,26.19572171,2.426404071,2.920359028,2,0.196464017,0,1
51,0.791697319,2.831219513,5.228165917,5.493000372,9.392000456,0.097489438,5.092360221,10.52037527,8.158893546,15.38191978,21.45746335,8.132181826,23.62122105,16.50081985,14.67143444,0.747842054,11.29239599,22.80564263,25.58974609,25.12804975,19.46556771,6.876110496,2.20395283,24.06007754,2.55916348,2.835924889,2,0.224242509,0,1
52,1.832819746,3.127833851,3.697973657,0.287995487,6.543237717,1.557235354,4.121032607,5.773036081,4.94361276,1.479379959,3.347017461,3.878844714,24.40650415,10.39174907,1.500542541,23.71057784,10.15512826,7.356892474,37.30675214,35.72084848,31.89264957,28.64930488,1.82544109,39.06606537,2.188734345,3.007113925,2,0.156147343,0,1
53,0.815321624,0.803394674,4.707265465,7.306928278,7.949656516,2.185192888,2.615453249,10.05672485,0.245353988,1.865081547,13.64853747,10.26756813,4.748264485,17.82882826,8.68561191,27.60771946,20.62541983,16.60778095,21.7897873,32.32162686,40.20530159,11.4238018,18.46186853,42.48674321,2.142937371,3.037635685,2,0.142137637,0,1
54,1.320125942,2.760301454,1.008517985,5.486028692,6.018043601,7.859533734,7.24771666,1.111752341,8.529067864,9.694875697,13.59376582,2.417310174,0.735007071,1.903121982,11.27649642,24.73070184,13.84244181,33.65836656,20.24173654,17.85641418,13.81040893,15.13886836,2.183341874,21.53316079,2.045163859,3.115361807,2,0.22239208,0,1
55,1.551854351,0.926655063,5.736040788,0.7319125,0.775226919,9.552550754,6.684435503,0.349432524,5.40961213,5.220605691,18.06861678,16.84751945,10.82868676,23.99046134,13.31049369,1.77570847,29.22984897,0.689136159,15.08081214,28.68360135,17.36822954,39.51688748,34.48764356,27.0875491,1.977029771,3.299140523,2,0.236053696,0,1
56,0.437365807,1.763313288,2.881669098,2.666274444,0.089126801,6.06556717,9.424061908,0.887349147,2.836433311,12.10206473,7.022923427,21.37241084,20.54971157,6.089978132,6.006269859,21.77408214,5.31137232,18.37299575,37.54645775,5.787676272,2.028600507,39.55881599,32.90516081,14.89573623,1.633020282,3.888715726,2,0.200327793,0,1
57,0.128812802,1.826234031,1.736317845,4.082621796,4.059856677,11.57497682,7.374953938,2.783965945,6.594023884,7.099238255,8.850101163,23.00249433,25.40436079,26.37659206,21.16863399,0.915913212,13.88987448,33.51998059,31.42918036,26.39037768,10.90139278,22.2242263,31.16579294,29.26360043,1.576964726,4.059581775,2,0.310592036,0,1
58,1.256678262,3.581131668,5.388777574,5.058516779,6.433454713,10.51201424,11.30636013,9.081941301,13.89405237,9.16680805,6.428849108,17.16380889,10.20246744,3.760323794,22.77996175,22.27459187,15.15937541,2.051806692,35.0223746,26.89993737,8.956376882,21.81804425,0.158824851,41.84964978,2.758817297,2.347158076,2,0.268551556,0,1
59,1.137108436,2.425767094,5.401637719,7.14653071,6.003798334,9.408297862,11.03671233,15.69214035,12.35813724,18.39894455,1.526711208,12.75499973,15.18659545,10.82571096,7.837811018,14.3780991,18.61810928,30.45323242,31.00021977,10.45056827,41.24633468,40.83453607,15.44092988,33.81898561,2.703023901,2.441053137,2,0.103798892,0,1
60,1.678092089,1.466048849,5.533902543,6.486120905,8.793570151,1.802205905,12.02266293,12.7860515,11.00772178,16.93813829,17.82398635,2.70667274,10.68817738,24.74625863,28.70050658,15.17336242,9.109000022,30.14095766,36.00771259,7.693969935,4.41793335,4.235799661,20.09720963,5.278114208,2.686153158,2.476698199,2,0.070306412,0,1
61,0.716679477,0.56783772,4.708863438,2.979723988,0.618416874,8.688381781,4.896211174,7.820807484,12.72657155,10.85693166,5.495391698,18.06772413,11.10752858,26.35020985,29.02551247,1.030259213,16.27172734,2.92848844,16.02999871,6.020876176,23.39233496,29.23360119,43.67133716,16.17468899,1.719482842,3.689719289,2,0.214894376,0,1
62,0.580915055,0.380829916,3.879566744,4.37220179,8.889235307,8.388044479,10.91492776,7.481993535,6.322128849,6.019463952,11.92430213,17.51038552,12.89664793,0.279826589,17.74813565,26.14409338,25.52791382,6.888560347,13.4706018,20.1074416,23.11435543,26.72651572,19.9189193,42.09492641,1.719177473,3.81267118,2,0.142627869,0,1
63,0.18340332,1.27420142,0.877078991,4.966193131,9.498448139,7.93153589,7.003092726,5.517025783,9.069668029,12.64399015,8.724870204,22.19058949,21.98532267,14.86413505,25.21541718,3.12392471,25.222558,6.891321343,15.27920215,8.223836418,13.36515661,3.014179331,16.24479233,46.35882042,1.428342028,4.116486439,3,0.266857996,0,1
64,1.592516725,0.403907823,0.263941375,1.332599636,5.265828453,5.501255713,1.265007679,3.199119581,14.7816654,4.562661069,13.05094761,2.079046997,24.1126182,19.64100954,12.37551729,26.61171278,17.40603754,34.74229056,23.97672636,5.352665811,16.44023654,41.62860362,45.94509519,7.221152479,1.389331608,4.173878154,3,inf,0,1
65,1.80462183,3.269278792,3.87562543,3.245156887,2.45087188,8.187782289,9.896932717,1.098868073,8.627687021,11.30313049,17.18977388,22.76879568,6.204328385,26.8376526,11.25295154,8.121217018,8.081440146,16.3178328,4.404671055,17.28186416,2.351307919,24.68648499,30.70787705,5.614619973,2.600878126,2.685378569,3,0.413152715,0,1
66,1.394125256,0.295170256,4.149275001,7.860269875,1.417435303,1.13188012,13.0675317,11.01013724,15.19465127,17.20417066,20.02121479,23.5248003,19.71040498,16.07348726,16.89693918,11.82643308,12.22693511,33.20311101,19.67496731,20.83850193,20.62688865,20.79279759,43.11186784,15.45809587,2.341168539,2.996318405,3,0.329868395,0,1
67,0.470536654,3.26040023,3.263383422,1.530082161,5.888399363,0.577641547,0.222221717,0.795376243,7.189475248,11.53807928,19.08538401,18.86789369,6.622271433,2.303137438,4.732679894,6.703772193,14.19101498,12.5168406,26.59559315,27.90037984,3.138403507,1.604666903,36.31239271,43.22537027,1.851747442,3.617856949,3,0.199055225,0,1
68,1.676132962,0.111272659,0.601753192,6.82032902,7.02852072,5.777388561,5.519726585,14.18841422,8.049988898,6.644923381,12.68203259,5.606296892,19.23323782,15.22330085,21.94311932,19.27293492,33.8239436,7.980006942,29.44011935,36.06434198,9.045258058,26.21097909,16.62084244,43.9345114,1.883660695,3.596067728,3,0.207008906,0,1
69,1.77384092,3.547367698,3.091299963,2.136700406,8.803434701,5.97579969,4.6681497,14.31514574,3.680694838,16.39209315,18.45443273,12.54710481,4.210385388,26.57135645,1.783472274,28.36798349,19.52770357,13.63848816,24.35439991,5.112280121,17.0815207,15.68204389,6.953177753,41.11070704,2.473277451,2.934800304,3,0.3890854,0,1
70,0.919090562,3.84526903,2.005111324,3.776667405,1.053912503,6.036910919,12.39965805,8.550037391,5.066581783,7.091693734,19.71816547,5.795739278,0.620986421,27.04035054,12.8990369,11.08123237,19.62029953,4.554941701,36.10164568,12.54443322,40.01890723,9.609302346,11.4402092,41.46248638,2.179388488,3.2100629,3,0.159187365,0,1
71,1.016820401,3.500440758,1.50719985,5.185121284,1.647227555,4.23173034,11.07759994,0.683493533,11.4070281,15.28326101,17.94812435,10.8824128,18.50175222,4.522654875,18.52076875,27.88368225,29.99085365,15.46828785,10.40198421,33.9318596,10.62303609,3.723676109,20.36425768,24.72099684,2.195033996,3.130231802,3,0.255038351,0,1
72,1.735975494,3.889072006,1.196467979,0.882285191,4.871258822,6.744599174,0.008247419,9.042001275,2.407918278,5.797740885,21.57968466,21.2998335,24.52037145,1.627847231,17.9996109,2.261926637,12.06777804,26.00813493,2.908035677,17.19264642,15.92286629,18.30091069,28.47933427,30.85587448,2.050954121,3.213027388,3,0.293653994,0,1
73,1.587378922,0.706092631,0.558870499,7.258852321,6.505816587,11.43040797,5.529808451,1.893896519,12.44530246,1.201261587,8.082365493,10.58363495,13.652461,20.32191326,15.40474538,24.42408846,24.4615005,21.56559643,35.83773287,3.461744566,10.4906744,13.42887044,43.35228443,29.70623749,1.992275063,3.455186476,3,0.366072234,0,1
74,0.537335711,2.691052268,2.265563627,1.058320854,0.777283119,8.445629838,7.030876314,13.40241888,11.75261349,0.863278109,3.457691408,22.16547093,16.51689956,16.27605362,6.282203215,0.854302348,31.85284382,16.52284681,34.52840177,0.135105957,24.67884402,32.62837432,18.9101125,23.06374414,1.660125788,3.948734338,3,0.26580607,0,1
75,0.055912003,2.680269406,3.757867154,0.370987224,6.277297129,7.865144913,3.583978654,10.46155772,6.400394992,18.90000236,6.066028512,21.64783006,15.168216,19.50584087,29.96200903,31.02293099,2.708673694,9.72507185,0.599508339,32.11003977,39.15667266,23.7274365,31.51497372,9.053016925,1.65864974,4.067712703,3,0.277917282,0,1
76,1.59630056,1.866863548,5.69363274,5.511546915,7.287077204,4.979514337,2.691897267,10.68540319,8.601919192,17.50276285,18.46990906,13.97752578,1.910205687,18.24313958,19.2001402,22.96484396,13.06179304,22.27842058,14.26750339,32.78369392,14.69215426,19.70200149,25.40640983,16.41354083,2.73731386,2.590842356,3,inf,0,1
77,1.14254705,1.301857441,0.624600719,5.093413763,6.770587852,7.079960212,5.642317178,15.47623011,3.625819435,10.0997718,6.081307041,19.87895715,6.331990522,1.331947811,4.233463832,2.630355001,11.40874555,15.17063152,26.80157484,5.175378312,32.79879702,11.50861023,5.631747617,47.04203785,1.736182227,3.737984343,3,0.351168904,0,1
