parameter,value
function,WFG1
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,3
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,f2,rank,crowding_distance,constraint_violation,evaluated
15,0.89276448065132274,1.5745006644447479,2.926686043327817,0.44839652116993378,2.3209787454712383,10.226213608042748,8.6577814682683645,10.364606804817033,9.7415880781982498,11.584821024972713,5.9905454555336135,11.840400533412129,0.27940682496684427,12.95909441938403,15.974731458432888,26.428044183776947,3.2411305141083977,13.865158698227802,10.321547425586754,9.6053962664900681,40.737770416399258,18.653063310643734,14.370689482319881,17.461626197257118,2.8005033097715293,0.97925039496843325,0.97762808931166245,0,0.14982612070011014,0,1
16,1.9952565002915852,2.2032067010830256,1.0335992696285241,1.3208517627237344,2.2852092508289452,1.8779498879241339,12.250827469805882,8.294024129107882,5.802431805597779,4.9585634973231238,11.463288587891283,15.676515308780239,23.173604991216678,21.497131577694418,11.067829566421251,11.20021117814168,14.535979974503695,0.58668347836855239,8.3911079702751952,20.458488752885714,33.109033353399816,8.1410120106306678,25.108093892997978,38.313362061993232,2.8367301250332217,0.97622016444361759,0.97073002055477486,0,0.097643688122479894,0,1
17,0.65220188001738,0.70667415604437345,3.2637353541174825,5.7404014219870589,2.5214801907571029,8.4646567428497761,4.1333215776489443,4.9877905875393012,11.702929787077437,8.301311915957136,18.1183523210949,8.1525224908893215,0.65880646996221437,16.279335611306685,19.816568236407623,20.526552553977517,0.15767016321294572,21.564279264612981,16.478417602609063,1.7730503145400567,29.202046932182824,23.173770967502517,16.257253209571594,30.645461536242973,2.8529149467275068,0.97467451396460558,1.0000441496670758,0,0.063830540327091623,0,1
18,1.9021677316702972,0.081386119573212609,4.1463760124744509,4.6232451788572373,3.66808507675879,6.4836927358691909,13.466663869714349,10.326520559912858,6.3121691212382434,12.262107634276752,17.936841862750807,1.8935681312906512,16.340114676570771,18.07323646441624,7.4821951842843406,4.6979543758741817,28.955557176124813,23.942714350263625,2.8468018749728703,13.570496134822349,35.823819283847968,15.47937957166849,9.942016106862134,17.962057931913655,2.7836847675473169,0.96909071043935535,1.0794782549018085,0,0.48249923646546422,0,1
19,0.58091505502915886,0.38082991593344112,3.8795667444496695,4.3722017898235794,8.8892353069016536,8.3880444789864406,10.91492775900714,7.4819935354990514,6.3221288490201584,6.0194639517238873,11.924302125627596,17.510385522626418,12.896647926413287,0.27982658883067929,17.748135654463479,26.144093381078108,25.527913815531669,6.8885603473272798,13.470601795850785,20.107441604213612,23.114355434358281,26.726515724064633,19.918919300267831,42.094926413457543,2.8212187271362721,0.9746919757331225,1.0275735160733905,0,0.15915266330907404,0,1
20,1.1902001341064032,0.74255822118620174,0.18754058074364893,1.8367011342411406,6.829916369791702,5.8851376622911795,7.6211766138848773,10.904752673544323,17.900608648597373,6.8558729725061625,5.2518568203256004,11.498397904381605,25.187986032350814,25.774345702631781,4.8249395483742985,27.086349655978776,14.72399871311805,16.046811385139875,23.144703217292196,9.8089725255869826,22.781833745291816,38.554239551961963,23.424614211123284,27.091847684203977,2.7630790873977542,0.98934380637552211,0.99552627858824572,0,0.18801095292170139,0,1
21,1.3941252557294481,0.29517025575296257,4.1492750005435566,7.8602698747681741,1.4174353033079226,1.1318801200459643,13.06753170148702,11.010137240432876,15.194651273241941,17.204170655613215,20.02121479020823,23.524800297205534,19.710404983328875,16.0734872606461,16.896939177171085,11.826433078668632,12.226935109809709,33.203111006274291,19.674967314437406,20.838501929620076,20.626888653157867,20.792797594819209,43.111867838982533,15.458095874763202,2.8520680794704516,0.97590188832926106,1.0199426315724889,0,0.11409493656388264,0,1
22,1.9138324274158491,0.4065879788577848,5.4446716489141691,0.91289936499983826,0.16185828085472559,6.6793496506559871,11.134508524103166,4.7044557865999348,2.5531818956898649,6.901252884284049,21.568904213521023,15.151880989189642,6.6793023466968044,23.299574578191159,27.658504418918795,11.630471819913451,11.949815100669937,23.870416751487785,30.081951699617925,11.998246215241647,10.030296861332245,33.893505431626892,6.1001496064803042,10.49019211439405,2.8047920600415939,0.97738311128628619,1.0001329191119723,0,0.091654608783977048,0,1
23,0.057980850041748848,2.1444708425414905,0.036498977619380049,1.6527337583759738,7.4023302639807254,11.277076726251273,0.90226785256408648,6.1979385958030235,13.919086485398331,19.924378669017202,9.6821682608410118,17.809242734279124,9.7443890340978676,9.2260688773073376,4.94867424265626,10.175516372444163,11.046030449008317,13.347899238942947,35.12256894756095,36.282200335126042,19.122419807715751,11.702158143824288,33.425492548730574,8.9165112670333428,2.6992314575571279,0.99025264441671113,1.0019163921927403,0,0.23151589554682661,0,1
24,1.6761329624785848,0.11127265852376662,0.60175319198688837,6.8203290196659214,7.0285207195601345,5.7773885611171512,5.5197265849744648,14.18841421562432,8.0499888982913888,6.6449233813804991,12.682032594836272,5.6062968920300342,19.233237815027948,15.223300845299701,21.943119315713989,19.272934916125806,33.823943596572136,7.9800069422127224,29.440119350799442,36.064341975535285,9.0452580576827071,26.210979092181869,16.620842436836515,43.934511399195344,2.7695744389095491,0.98127585088104652,1.07255798456551,1,0.99711323834324639,0,1
25,0.41926839448157738,0.45341097246742706,2.1508136552848161,2.169184997916652,9.0815216720993366,5.9753557257815384,13.580122348942677,15.698716059263351,5.7573295914311462,0.69826855571746571,0.075823265812984875,9.2665121919263633,8.2453876076678085,9.5157840314672253,6.9897359163844879,14.832370093232788,24.929557831442594,12.980694057617315,34.322437366854999,24.038618376777507,4.620540900243074,7.4940889480934114,2.613239050227758,8.8285117138549438,2.7871230334471204,0.98016539612391607,1.0305956278596653,1,0.48317813975783463,0,1
26,1.7842717371598242,1.5103373814443046,3.2305481686224375,5.2183910257469011,3.6126102365728201,6.85210274629602,8.9297107035553474,2.0210380953773783,12.423682617000189,12.9549879190683,7.7866600231548615,18.317593375307872,9.2698246405967808,21.078073811969912,26.440254871929699,0.37341422561436927,16.935708365532804,2.6565124016211006,29.904156009750523,2.5626930869136864,14.923035260032934,41.440825709479199,17.47095135012043,36.620163227286497,2.8996842050874161,0.97412787365124076,0.97610292078338712,1,0.193154702600985,0,1
27,1.298268916738788,0.83516296442481408,4.4668288371296541,7.8217428382250036,4.1560410411983844,1.0986990770431058,3.6581742766021366,3.6616737092208012,14.965934639591564,10.536281883328636,0.71938916192227909,18.260236791039983,11.007712446094207,4.9562624547558443,21.037166424216405,19.123133559623444,9.3698521772547263,2.226242867555257,26.785603612688902,14.327766511355495,30.375963667791687,23.186881892040809,4.3673351392045827,17.109785324561791,2.8919990633626678,0.9740374807609824,0.98635614995941101,1,inf,0,1
28,1.7782663266284602,3.7021889090843101,5.5679692132533853,1.7428581588560774,6.8296995978187578,8.6737124141472428,4.2775454580041217,6.3481259846107569,4.7210461652170332,8.9888688382824959,11.886098878053167,2.0380814919578674,1.4657757993711522,13.71260892410767,15.873737362716039,7.3644275091663598,12.122892501499109,23.71679978134118,1.430279922025117,25.639543230357901,40.865410042987371,14.574079239507642,17.581053256150422,47.1930731517634,2.9127668012791661,0.97575465298675701,0.97420268715320268,1,inf,0,1
29,0.021255880132754847,0.3406395053702686,2.5724927017389025,4.69971784472434,8.595517706721429,7.3751129167229577,7.4538611976173863,13.383178826921949,13.393102491437755,6.5573465586452269,5.383228968087117,15.709103732500424,15.828352424987367,1.9058974336686116,11.597958906073989,17.164292123211489,30.358630363467327,33.815926283304485,8.2878071049182207,22.473276193285912,5.6344480463446223,31.187961196671257,7.0478171754939254,0.12223370259067029,2.7560144642833957,0.9857873586176491,1.1713604103509025,1,inf,0,1
30,0.91395581470871068,1.4450988494126302,4.8960450325752873,0.36649215153192499,3.8782778913224192,5.5022781408302501,10.300249649846684,14.554191173398696,4.9932983865089078,16.355367779865716,14.438948911178908,0.27072761930430023,19.119196070760722,16.897850128401728,20.400574389041861,18.686713226636684,19.499713286662441,12.996628946643394,36.43059634907538,39.477712556299394,16.259687956558476,36.791920257933739,45.178548637500647,28.0969433052475,2.8134993585700867,0.98761964909043642,0.98770430137511345,1,0.25752616117648403,0,1
31,1.8199670260316212,0.7146655096514416,1.1545653173837342,1.610457692829355,1.2215407405475962,7.5560569929614978,13.299370508313689,0.64152590306154833,8.3561942377668998,1.3940572293666988,13.064567574350857,14.365931094212542,9.1118096031686679,7.3357755166709433,9.399708490037467,28.957122955227241,13.769588620099713,25.429231962786705,20.920491154617558,18.005517529767836,19.445850351114576,4.545183616715132,43.701458906798287,6.0238120496106253,2.8066883986623044,0.98100225621860571,0.98815889150218994,1,0.15783859824153743,0,1
32,0.72188370324844819,3.5535849450062509,1.584921614901065,0.5135464055468042,1.4216792246722783,3.3100483595374506,8.0092210058263262,3.9917229039922448,3.3077030254227142,18.98144874904758,20.951623649660966,2.5709571688160957,16.376952528078338,7.4926536705556188,2.2686895989161098,10.051088006318459,22.428694087388429,3.1308381809012724,21.561232704735087,20.61174625461711,11.917228640281794,18.410136762621839,23.118361758148819,26.530106077439761,2.8234137711110403,0.98749342043806465,0.97955121470086182,1,0.20637725403040386,0,1
33,1.5251462755754261,1.8211298804440084,3.1909586782344093,0.87468851169313522,1.460327437566,6.1054648646529985,3.0191038566905251,14.663099247013534,8.3187452699165298,2.6453454944534203,16.813315475699344,5.1056086776969067,1.930719290946763,2.671738843872415,4.8661653424107154,11.40683782150251,3.2404655974476397,5.1574682521101005,35.378491284174494,23.06336871943866,35.265098881916174,27.424853051242316,14.927805019102911,34.944558732948764,2.850795863733548,0.98632762798745521,0.98372080433202003,1,0.19932226960958485,0,1
34,1.4881472425917812,1.6619426970218825,1.8969731878969218,5.1557496061829911,6.4846403552847942,8.699983177509111,12.536943486740871,6.095315542561619,8.490504000548567,16.944789443374017,19.012796081893157,5.2319322096010694,16.260918196520688,11.520599652239472,17.743075934231644,17.547951606033028,10.126999894625513,28.546955925182303,19.561000766240049,10.553059582921483,27.103006822077404,29.080876960681923,19.986428223628707,20.838735137078046,2.8883847103885181,0.97744066418375375,0.97883490603129997,1,0.17404657943174681,0,1
35,1.7359754942608479,3.8890720061877624,1.1964679794788293,0.88228519145790607,4.8712588220991035,6.7445991744592781,0.0082474190534051039,9.0420012746112732,2.4079182775110675,5.797740885126478,21.579684661885967,21.299833495216724,24.520371451423923,1.6278472314796082,17.999610902491781,2.2619266374028961,12.067778038394037,26.008134930020518,2.9080356767723363,17.192646422551384,15.922866288709807,18.300910691341823,28.479334266189696,30.855874476765571,2.8523085694255186,0.98349143310869636,0.97629127952631767,1,0.24671590851720718,0,1
36,1.9073755465462843,0.79275629786209567,2.5014108581805687,2.9956923684401731,9.6188952259321621,10.832215381419418,8.4433709001354273,6.8963052084763818,11.344792816313429,9.5969619529027952,9.0354713575183094,5.3759450691281305,18.799494499744004,16.696046674860838,18.260665042800255,12.304494989222345,7.9889050821273528,13.952442359607666,36.895366341099546,19.343671732832131,17.30125530697028,24.74301979467559,38.8178862852333,10.422252121591717,2.8517169804731197,0.97734576296967302,0.98535985004261617,1,0.057924742807557918,0,1
37,1.3050417988458092,1.3281536346774299,5.7211493607614328,1.3091724346470097,6.3215850545296339,9.9951694940226332,5.0266859229100529,6.0324948108932537,16.385242481771716,5.9978092987832383,17.63422526331523,18.165323974885521,16.345109580551924,7.8299272931711013,26.343681497392417,7.775809455914108,16.771424480881475,4.3597366591350113,7.2532813006626986,14.616431023662152,22.491928439249872,16.699105477159254,9.7414236381133712,41.909735865930706,2.8567263909341767,0.97667905983037118,0.9797164050863203,1,0.16061131647711299,0,1
38,1.0369476021277224,2.7734810116488675,2.6305551469736681,1.7498551832860902,4.9090841885608265,11.86311154053768,12.632681584196094,13.946870381933749,15.811917777789617,9.9643758732697005,0.9632447982097857,3.2462849644163954,13.750632425773468,25.318456817689636,8.9445956055690647,10.920316058042566,13.297975534640891,21.690508697486166,9.2257648277700195,27.174346636234937,3.3801642149172562,6.6417623278836153,42.487662348882097,16.560453138567123,2.8725929020629684,0.97902768279038788,0.97696804031524376,1,0.26088726581547322,0,1
39,0.52103743431379468,2.5237824054723359,1.4046330021786209,7.8308428964275141,1.1719511475021829,5.9685858200058037,12.767548136385468,4.1400390639123597,12.563661728085245,13.653454262599006,20.626060729115235,9.4590972259389385,7.0869031592832092,7.0663290124878015,10.047001105468238,25.678928597770543,21.367007023872954,14.348642929072014,7.6414174818386611,26.098881279149822,2.4010732960050247,24.073758248354306,15.179050192855968,28.837455049958958,2.8905624644251704,0.97668824271177124,0.97920209624341636,1,0.057026009713729182,0,1
40,0.93307464909747795,1.9675005126474308,4.6893646286655102,3.5953889292914814,1.7252286884697945,5.7754931473496747,2.123463430898251,2.4368214239537562,7.2254776134181435,3.9439077060378933,12.181727209796062,5.1504782799411837,10.395695683832535,10.599037815627886,5.1829789954956453,14.09167220415908,20.227960664371391,12.8271474299563,26.035154607089321,35.903390756197084,23.605579143892527,26.333879323677582,32.256170201757371,44.554812860021514,2.8960948030066129,0.97636057847295565,0.97869822597611666,1,0.099856251473656177,0,1
41,0.71667947731260395,0.56783772033782876,4.7088634379102876,2.9797239882424917,0.6184168739107575,8.6883817807337334,4.8962111741712091,7.820807484104491,12.726571554667606,10.856931658179576,5.4953916976700263,18.067724129042048,11.107528579911282,26.350209853315331,29.025512465690035,1.0302592126613652,16.271727336821506,2.9284884398881776,16.029998713304497,6.0208761763072776,23.392334964526381,29.233601185789713,43.671337163985676,16.174688987305338,2.8368989587116373,0.97865782442325167,1.0094235952238957,1,0.25072710332892284,0,1
42,0.046991118557253728,2.1223485611238844,2.2628555310411365,2.2677140625357777,3.9190056923560102,4.7228715024297614,7.4037991481560361,1.811411308122207,2.8062092560987244,2.9736882781027933,8.0519808969223057,9.6887999756866403,2.8529821670812012,8.8144728907693892,9.5128476493778731,0.11469609276264726,13.714195563295661,15.242934550956928,31.618953842084025,4.0513712934310542,3.2614813585730684,9.1891174320141733,38.604554991069172,26.469071808840489,2.8083574230796149,0.97983023985532125,1.0095828564629181,1,0.12073219062647127,0,1
43,0.055912002700487927,2.6802694057120191,3.7578671540883639,0.3709872238080123,6.2772971286247925,7.8651449130340225,3.5839786538529879,10.461557717187191,6.4003949920673708,18.90000235598896,6.0660285121138875,21.647830061510099,15.168216000524966,19.50584087261884,29.962009028899523,31.022930993566664,2.7086736944405803,9.7250718503564961,0.59950833934763925,32.110039766702755,39.156672659541954,23.727436499069093,31.514973715537636,9.0530169247770136,2.7832069455281934,0.99310373699139698,1.0078568903401741,1,0.34435093306264886,0,1
44,0.80472173685555937,0.8127744881433947,2.4386340551259291,0.90349605758396923,6.6995533287943774,8.9649447649531488,1.7371639998041339,2.9036304340529004,17.269294618275929,5.8713391582869567,8.0353993121789493,3.0466435376248309,16.348466123530031,3.3025145624101597,0.7463039592746451,13.774107781138268,3.101278703893342,21.749889825366104,20.536266767611679,28.844344412817463,40.652142879144989,42.217774284150785,0.9023992005738376,27.780869640758354,2.8050538699955627,0.99082405959014908,1.0045664000007779,1,0.47691740677056643,0,1
45,1.5925167251354955,0.40390782318776097,0.2639413752403349,1.3325996364569823,5.2658284532786759,5.5012557125016581,1.2650076791407505,3.1991195811578836,14.781665402173617,4.5626610687932452,13.050947613184317,2.0790469967748741,24.112618196691201,19.641009543501852,12.375517287640461,26.611712777467861,17.406037543973984,34.742290563845366,23.976726364959717,5.3526658112695422,16.440236543700927,41.628603615937891,45.945095190362672,7.2211524786809935,2.7493002526662318,0.99535003728757077,1.0144874171812921,1,inf,0,1
46,0.0093266260179129586,1.0568132170687252,2.8042638297250337,2.8785295532101278,2.4021763270304137,0.27802476494799744,7.4433534931439711,2.0831154894731343,10.106261260619979,3.3566159775026483,9.2636446513756283,16.432509796756136,7.121408449756637,0.27999236899140018,6.5959889465711052,1.0225990176024944,31.785654728282228,28.155312716154921,19.668571522734908,0.65851058131277806,12.549609409319098,23.791659721549486,39.554644198686553,8.8854865372422456,2.7714899235432555,0.98648458332676814,1.1028950313942463,2,inf,0,1
47,0.00809061866827019,2.8068491650707386,2.034005178261463,2.6413887028954481,6.4400535451438943,10.609167085076804,1.9747198446853116,14.302014663855354,13.090251537512714,8.7980940421442924,20.512988151733307,19.555363411112417,9.5486823014696434,2.6067496487926833,12.42458445582994,24.485050952944817,6.7394510048367051,22.548758057197563,12.714311407903427,34.124877755100187,37.192060539365897,7.9816427813539681,21.979240453762763,10.026170876058639,2.7922498078889921,0.98233581187661756,1.0364241886361525,2,1.0988922803725176,0,1
48,0.73959854466480046,3.4861601792441257,1.5365539014514515,7.9854621294304735,1.5562818262343008,6.4396480151934368,7.9002978932369397,3.4297407911858109,3.5762392128445959,11.395695779212376,6.3936708828420512,22.833332816460548,24.089609169908769,5.663349419844959,13.743633341304623,19.104989692043887,21.522034099473682,12.935919693810575,31.656613319075039,18.966589393767201,18.533934241809579,5.2083450636894888,27.405918320282925,26.338302699272134,2.9151934171138549,0.97799321877986811,0.97792715718859546,2,inf,0,1
49,0.12881280158802097,1.8262340309300067,1.7363178453368542,4.0826217962086648,4.0598566771324531,11.57497682178079,7.3749539379077964,2.7839659446530871,6.5940238839898342,7.0992382545324073,8.8501011625088388,23.002494334908988,25.404360786206368,26.376592064553442,21.168633985613617,0.91591321188853192,13.88987447939043,33.51998058977663,31.429180358294619,26.390377683013938,10.901392779950323,22.22422630220095,31.165792939262356,29.263600428045322,2.8368829278973449,0.98132719994403184,1.0009767578893902,2,0.14432572384783438,0,1
50,1.1425470502521815,1.301857441123569,0.62460071909520742,5.093413762582105,6.770587852276563,7.0799602116116933,5.6423171778764942,15.476230113527762,3.6258194349691664,10.099771800330899,6.0813070411563359,19.878957147826831,6.3319905216632186,1.331947811025981,4.2334638324746381,2.6303550005016056,11.408745550489593,15.170631521668874,26.801574839681969,5.1753783123225219,32.798797020378984,11.508610226868823,5.6317476168374743,47.04203785017657,2.8514330199401323,0.98584577723171651,0.98921996484345331,2,0.098574898605213582,0,1
51,0.89009899898449407,0.71788699592103322,4.7537967815174511,1.0274324267142609,4.1898238055233739,8.0669004689139339,11.13247970084497,14.760826357634455,11.406630099499344,15.780587097743803,6.7806663491733818,2.3397738799219763,22.882145350855897,25.440017891400913,17.740725251450602,27.730496117749915,22.333148816680229,31.761480382404784,9.1014338654171354,37.172621965170848,24.054696109534451,5.2662592089020244,28.5765123067345,16.397609432465984,2.8203910257107356,0.9858537806779506,1.0034682023920787,2,0.2457812210858123,0,1
52,0.10444417191622127,1.6740416587534546,0.84643378755499366,3.7768582375794333,3.3229962664728534,9.8252249930412319,11.284731629865215,9.2665848089554252,13.359365925030879,17.854028415418036,18.400124311325257,12.635746728883937,13.484855440896506,20.020477094769159,13.004327725630226,16.895378044223378,15.517022771672291,30.914314940225314,31.987556892225211,16.733307147003433,17.536188315164768,0.1086136412737517,0.93231510172973819,8.375172268013003,2.8109759595554253,0.98475363215349421,1.0088894410925093,2,0.50068700934423471,0,1
53,1.5518543512939875,0.92665506265315345,5.7360407875577639,0.73191250023129883,0.77522691927654708,9.5525507543834287,6.6844355028979452,0.34943252430097627,5.4096121296732012,5.2206056907249749,18.068616780975582,16.847519450369955,10.828686761103178,23.990461336932476,13.310493689095125,1.7757084704733626,29.229848971634084,0.68913615925027005,15.080812138893656,28.683601348957716,17.368229536982057,39.516887478604133,34.487643558124567,27.087549095007333,2.8338684268802492,0.98526510581420568,0.99059045684848446,2,0.11018087773853993,0,1
54,1.587378922195241,0.7060926306296903,0.55887049872246897,7.2588523209467386,6.5058165872823945,11.43040796751494,5.5298084513797807,1.8938965185075791,12.445302462102728,1.2012615865967642,8.0823654933828681,10.583634947940304,13.652461000547726,20.321913258285786,15.404745379602156,24.424088458354163,24.461500496361513,21.565596428226538,35.83773286735925,3.4617445663245294,10.49067440296445,13.428870437874512,43.352284433947005,29.706237489009339,2.8423460951598858,0.98403267805924788,0.99563930724322391,2,0.17363838174498439,0,1
