parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.629313983,3.141596146,4.641084235,7.018303446,2.505218777,2.654890844,7.904107433,1.280739366,11.57678672,17.56843749,5.355196858,14.31547767,13.60001205,8.744030762,0.844747011,0.977007805,32.41902837,3.600184326,21.61843888,2.266239866,22.3512886,31.03258386,37.45872136,40.83555261,1.932278021,1.389298609,1,inf,0,1
11,0.130817886,1.421471647,0.490502367,3.678097843,5.908330577,6.216957901,12.06900524,3.128351178,9.305790536,19.2177757,18.27624203,13.59951875,5.542200828,6.91609461,25.79788549,14.43119858,9.750644207,24.67648277,10.27025016,2.276560189,26.23852813,7.775034533,10.98164606,1.488474313,0.722139615,3.959455116,1,0.210185448,0,1
12,1.139903219,0.266358225,1.35233402,1.758622284,4.272936025,3.678720822,1.904951712,8.362455604,10.50760395,13.23178716,9.871150709,0.251088776,7.577372135,11.98581805,0.791237591,6.52060228,2.551354942,19.34309861,32.76602934,6.937376014,20.30594181,5.145875058,27.49365315,30.70311628,0.680193044,4.285483847,1,0.220960302,0,1
13,0.543586522,0.40203313,0.234686909,3.278729303,9.572449871,9.147716538,5.30939055,13.60123809,17.16162882,2.412324545,5.880284142,23.83518252,1.722116858,17.59994382,12.51343591,29.36272443,14.53198251,4.894075761,0.609861265,8.860554651,11.97412482,19.63896373,7.173851021,11.914464,0.763266628,3.844606655,1,0.428946327,0,1
14,0.323040208,1.152481313,3.305771883,4.538118763,5.378341111,3.843148888,10.96682864,8.969393643,12.58641892,5.468625167,11.18913947,17.77194756,4.119498933,20.26690706,13.26328191,26.83327825,19.49078494,11.09470034,23.87828872,17.20866779,3.990195852,9.237384632,15.40844781,31.32462969,0.830997228,2.920701066,1,0.388083305,0,1
15,0.048715914,3.251034827,1.81381899,4.241961297,3.319105995,6.660192109,3.708383639,5.856146568,7.913044767,6.024312642,2.036855263,11.90641302,1.659839727,19.2643402,28.18553645,29.4069524,25.3472134,32.35337983,5.739195321,16.84273225,3.86727673,8.603014207,19.90419341,16.30249861,0.857438199,2.894920768,1,0.349187247,0,1
16,0.774418181,1.831690653,4.816373338,6.46160557,3.850850219,0.717491793,11.63460628,2.596499953,11.90963178,5.839483158,4.080420388,13.46250557,24.2549739,25.38769299,4.321308733,29.60148964,21.57938357,19.54927687,19.31026904,5.565892178,0.127003605,10.3176062,7.091259678,17.79982996,1.434898708,2.234384223,1,0.72398119,0,1
17,0.200893005,0.263109122,1.721701776,5.680712732,6.104919456,8.882867242,4.284488501,5.657017125,2.079816388,15.18719462,2.430226874,15.12661802,8.563938551,19.39331629,22.02900008,17.77455137,15.11213989,29.10523211,17.34511688,13.65763856,33.49880667,6.539426998,16.56444474,12.17819327,0.621450866,4.39233417,1,inf,0,1
18,1.136819362,2.628167525,4.241955347,4.549780161,4.745233358,7.123663433,1.80928911,9.382135511,5.807792621,14.31451617,1.847552049,3.903494766,12.83198854,7.429244389,18.41640254,5.55480127,32.51633494,21.01592783,37.74623678,17.00746131,8.771751342,6.389632524,38.44909126,15.42187652,1.430690423,2.414329258,1,0.120321803,0,1
19,0.799944164,3.37274804,4.081003014,2.893149701,7.996199625,3.401112286,8.540932401,11.91223863,16.70564313,16.90820304,11.1054887,14.02258875,3.844325433,5.322144804,2.277981907,16.81761927,12.07703935,15.89393475,12.02353385,26.75742159,25.81765963,39.85081337,29.00765533,9.383221303,1.227567717,2.625425389,1,0.156353363,0,1
20,1.589272393,0.755429152,4.972529982,4.036711298,5.845184065,5.852401692,5.144045989,4.536453495,10.59751057,5.789433333,11.06900063,2.730335119,4.638776056,19.08968193,8.033310931,29.43835532,22.39671762,26.63985045,25.5594006,35.99349813,29.75524485,43.06575,39.46001636,30.46233077,1.278598569,2.427975593,1,0.168061556,0,1
21,1.856764264,1.247551211,1.617989623,6.557237359,7.971955347,4.752288994,6.720998842,10.78633644,16.42970037,8.377986305,13.44202336,5.035293455,19.5226231,4.332824288,1.605759992,24.70788339,14.44060412,28.88395892,27.73451182,23.0244157,24.05228571,1.059039471,4.522571687,28.22016684,1.359806301,2.423682149,1,0.120571571,0,1
22,0.392539443,1.892949722,5.332636399,5.675585533,4.756470548,3.8115859,4.01255862,0.886571956,14.7511755,16.03310645,11.1578435,22.70672605,5.317999002,9.038871459,11.2011376,18.21457085,22.51079881,10.38059134,11.56286472,30.14177458,10.94574468,18.76194065,40.90513393,36.07086882,1.224466958,2.77349765,1,0.372104316,0,1
23,0.430774614,1.15001008,2.516848315,3.514343748,8.130841762,9.125892989,12.39847525,9.821902325,10.72374717,17.45640185,1.324783056,19.83671601,23.06981538,3.382790811,13.17654657,19.17581692,8.928030666,20.95069621,23.43671511,5.358747495,25.70766311,24.87698571,27.67293471,8.959725019,0.757481026,3.999414052,2,0.179428509,0,1
24,0.159349469,0.861502687,0.654704316,7.317605204,5.096616261,4.552387666,5.997066742,10.04812904,0.875180311,4.211393893,7.45863172,12.37109722,9.565456148,24.11872537,12.69770133,9.300021287,28.55361427,7.12843301,30.41048341,3.892991184,38.22411762,17.35425028,14.27554623,27.90235482,0.737990669,4.208591251,2,inf,0,1
25,0.040066584,1.71896783,1.70729495,1.314784479,8.518087764,2.59796546,4.230562513,11.98728821,6.540821682,17.90783148,8.945475148,22.1627533,23.36471835,1.413127212,25.32362661,8.910217035,21.5992237,28.18321203,36.52819815,0.929941375,4.027772555,8.89208111,45.77396689,17.66285388,0.811517857,3.917900777,2,0.526009791,0,1
26,0.019991451,1.777401702,4.75211486,0.98808696,7.397357258,8.290275399,12.97442135,0.575608347,9.869906351,11.36116699,3.905041472,4.996599527,18.77612862,23.07704358,12.10859167,5.722491918,4.024485479,7.77807474,15.22388894,34.58683899,27.21022599,8.921408576,21.30877733,3.50549954,0.779417562,3.972545416,2,0.113469577,0,1
27,0.131833668,3.630832143,1.217704227,2.602820573,4.930317259,2.4407566,13.02325006,7.54494001,17.41557806,3.48984009,12.37522377,9.666216304,4.601857974,23.03103867,18.7165162,28.67095137,6.079166488,25.42269697,32.41888747,0.165956014,34.26783562,3.196231263,9.322794262,15.14093904,0.895597872,3.267739176,2,0.56684703,0,1
28,0.63193205,3.191017071,1.184150326,1.839841592,3.51218035,9.3939833,0.460573009,15.04290616,1.123768214,3.7047441,12.65042212,0.305550891,6.500471139,5.553687049,23.91567122,13.29189208,25.56615344,10.27562994,6.079326225,28.66874803,28.55283701,9.047806777,34.68044836,30.80341765,0.911048039,3.095894478,2,0.218080226,0,1
29,0.314699006,1.802960951,3.845901633,3.08064215,8.533801977,9.980938379,11.50880642,7.046079915,12.47848822,17.37109202,10.00283852,7.693920334,25.00538954,0.481596608,4.689067388,26.60514324,16.86636928,13.08474329,34.32925461,30.91594357,6.692087754,11.29094351,20.83029766,41.97842243,0.919653919,2.916842387,2,0.610592082,0,1
30,1.572021704,3.53669241,3.042695304,2.290449541,5.646088387,0.900809238,11.86219076,8.582007936,3.85610424,16.33513509,13.48875858,21.33541204,2.317678891,15.24619988,15.19321525,28.65107459,0.797773613,22.87972754,26.34723074,10.23040621,11.43165616,37.01866683,4.684105079,6.378509311,1.509347855,2.331069311,2,inf,0,1
31,0.244120096,3.434483319,5.237114764,4.968689593,9.359222198,4.145037455,6.374662384,13.96401806,16.26653198,1.202609683,9.106554443,20.95328187,19.91121881,13.36761876,24.81496504,27.27202717,11.08997207,8.107930502,34.26211393,3.132690991,31.01053713,3.66462335,35.96477364,21.73521834,1.491901264,2.351415855,2,0.110514837,0,1
32,0.287781891,3.97840961,4.059713509,4.31412593,0.120105878,7.843344779,5.635810311,13.13924996,11.87257439,10.3682903,16.850121,3.650716958,19.28911131,27.20764189,0.516215272,10.28251484,15.39608706,17.29862404,7.101179829,36.01962045,39.93044072,29.26178845,20.0147436,42.44058353,1.43650458,2.361259171,2,0.342981244,0,1
33,0.805503808,3.53323203,1.629047005,5.71684387,8.789756815,5.494771333,5.809473119,10.78277473,16.81248188,11.61088604,8.224543625,9.809861806,1.635626034,9.190865098,25.14941242,18.02877068,30.89128363,19.33892616,20.73464421,21.03766373,21.10682078,11.93595202,9.925552649,25.70042027,1.239274832,2.748414865,2,0.643123239,0,1
34,0.881764289,2.984623067,2.560615257,5.484104576,1.241938166,0.691981899,12.47521805,1.753646267,11.88213137,17.20189908,16.34453336,23.64681489,6.741542707,23.72787735,9.250964871,5.654227241,24.13247928,27.99950438,24.11472177,28.52722405,32.04825154,40.46657142,29.06453755,34.99573268,1.336325914,2.616692487,2,0.322843398,0,1
35,0.544453752,2.640884791,5.513660384,3.53903511,6.27965016,3.255216338,9.333289043,0.114509895,4.558422632,14.28069487,3.485514373,20.15739298,13.33619709,1.076433034,25.95323801,22.53345647,12.71688799,14.44684188,5.373985541,31.30146361,0.962965336,27.84377019,22.16673542,8.963003067,1.292785922,2.617586338,2,0.195976171,0,1
36,0.216903218,0.011036834,4.947819223,0.93229381,3.839415932,3.512265085,5.700887011,6.907801662,9.157568251,18.79515444,3.508241041,8.973035044,7.393184729,25.26278586,11.43792322,0.382272967,21.02619436,34.0459208,35.96711196,25.66755641,12.96468776,36.1095221,18.44004362,30.16920216,0.76556001,4.281424547,3,0.168300307,0,1
37,1.855539201,0.559702876,0.581354786,0.373237236,4.100062238,7.79364532,1.964885383,7.277785494,10.5095942,16.09450421,14.59166042,13.11611013,16.13783534,19.21774152,0.751427734,31.85834554,14.35868734,29.89821932,31.34271188,25.96649907,1.601330851,0.16031925,9.361795318,29.5380982,0.747268561,4.52289628,3,inf,0,1
38,0.497929491,0.884226453,1.426941122,4.188052295,0.80143036,5.914848347,7.635185108,15.64833624,1.454399209,18.82594061,1.544306951,15.69277904,16.77013253,4.979497045,22.56220758,8.438822847,1.467494439,4.179270781,12.84537128,14.81866531,1.656957038,31.58728077,17.23957052,21.0561676,0.753058365,4.5051875,3,0.144632045,0,1
39,0.206051041,1.408184126,0.801763211,4.548801931,3.758602343,7.531476285,2.634544132,1.198709914,3.277565546,12.84525462,3.076841359,20.9292457,16.45511046,2.659071707,25.18613812,27.42690541,6.299784527,14.07451345,1.172044429,38.20250471,16.34170616,33.82003752,15.59870785,38.94154755,0.752119825,4.516869309,3,0.018284314,0,1
40,0.817079136,0.851598519,1.033369906,4.693541133,3.278679988,6.849568842,11.44893683,8.331805042,1.320419418,2.746271139,10.12795715,1.229780343,10.56403692,19.91914121,3.152879735,4.604386409,23.3173086,19.029568,27.38022453,3.405606972,37.12894945,3.321510043,31.63943888,38.27232509,0.830009405,3.959157716,3,0.582826872,0,1
41,1.235392912,0.165910211,2.797265596,1.609220791,2.907218363,7.41064703,3.386535505,13.54792837,0.180808442,6.375107283,14.5955043,7.519307822,15.71173708,15.34231656,3.280121766,23.66479088,7.56336443,3.511700528,18.74807352,34.90766689,4.662620377,20.64128155,19.1663004,18.70806625,0.787000007,4.220250591,3,0.238069814,0,1
42,1.040743293,1.328974664,1.006553643,2.357579694,7.129921931,11.39386447,0.556478656,12.0878464,11.04614166,9.216606019,19.72834611,12.75751597,9.736370556,0.187419979,10.35903123,7.201552597,13.35773575,15.8265254,8.191552221,38.50992989,13.0783221,16.30817721,22.74982278,30.00815539,0.782005279,4.270432512,3,0.065392848,0,1
43,0.367029594,0.761211913,1.995552838,6.123286206,9.993775774,5.718879607,4.797488953,4.292770392,11.97744564,5.395629967,9.098041958,16.57616337,10.09394238,25.79390966,9.146275492,27.7585819,25.79640627,9.828713806,18.71928003,10.84309987,32.35572292,19.53188286,44.31865664,32.48087802,0.900458316,3.446235946,3,0.648326493,0,1
44,0.552858389,1.307284863,4.373968856,2.296045823,1.226582862,10.55147302,2.117391249,11.49086522,5.036939497,17.15379233,9.000089985,7.351537535,0.017168272,25.35080619,0.170928144,21.51315058,16.31737999,0.684276664,6.641656435,20.35217999,36.52821773,39.11088638,7.455459707,22.89980415,0.955887094,2.954973439,3,0.569521155,0,1
45,1.150181865,2.210983751,0.091543772,3.372826323,6.474090869,4.575329515,2.02389704,7.62926032,11.60154294,16.56902999,12.69085187,20.4297535,10.214507,14.38834386,25.73022566,10.50066105,2.801965763,2.479335506,13.28967969,39.103513,3.848967438,30.68925929,29.17527628,18.60408253,0.934350328,3.033707946,3,0.3442186,0,1
46,1.459532801,2.171525792,1.951815066,5.284194883,9.725855291,11.66531723,4.069982836,11.09611117,16.8512402,4.514023636,4.770388297,7.246729134,10.70125393,17.95771564,19.12035265,6.304984472,0.465406796,2.810098387,17.52986458,34.33565146,4.821391737,38.36573346,11.84483305,22.49210194,1.251505682,2.885329449,3,0.701525312,0,1
47,0.265810705,1.521971573,5.782903749,6.503602583,3.269621801,10.74304215,9.419825511,3.66174673,12.09954598,14.73382777,19.33321226,14.49002952,12.5813503,13.17163434,12.73971112,19.58396366,32.423382,11.91335294,4.148191224,2.699389682,5.517064164,12.92715832,38.40434208,1.500489308,1.309938612,2.664294388,3,0.357497917,0,1
48,1.070466505,1.584631687,3.045365097,6.936491787,4.960308938,8.457757962,0.844129434,0.344019991,8.936274858,19.91896319,15.41307855,10.67417405,22.42090811,8.320262739,29.67076127,8.859786949,18.74858688,31.00535149,7.687543008,9.097661402,34.90312133,20.67913001,28.85955153,18.48098804,1.392549728,2.621136486,3,inf,0,1
49,0.994439431,1.075269624,2.772683232,1.110442668,7.94965711,9.521905618,3.963469615,6.328280102,14.34154145,3.94263635,13.45840199,10.41527775,12.74383519,21.27753788,24.30564536,20.80108853,2.704832333,20.80964933,16.86719737,38.89862995,5.038012916,39.49941336,38.2840744,21.54411439,0.833223762,4.043836881,4,0.418174521,0,1
50,0.666766542,0.529186409,2.756392206,3.19514816,4.86097551,9.880154319,12.65213312,15.65436951,3.002805005,17.7811535,15.54781307,16.37050128,12.91489655,7.214263419,17.92375744,6.735268186,6.126036229,30.63307328,13.91632404,19.33006848,41.42776849,41.92843239,0.642959827,19.26145206,0.788894027,4.232376558,4,inf,0,1
51,0.190816746,1.073897764,1.51349067,6.284506295,0.341213816,11.65738463,7.786277778,0.521351144,11.02410363,7.012810626,13.7966497,8.711364415,0.343587159,17.68163176,22.29022868,4.430222096,6.025127096,1.441627032,29.97727846,15.90156497,36.29932923,41.72293153,30.64149087,45.5439324,0.924239221,3.918649256,4,0.507849735,0,1
52,1.770927625,0.797439792,2.80608681,0.83231359,5.211139235,1.050160807,2.517032033,1.591543462,0.425719479,16.9832831,0.591916314,16.50675645,2.357769059,12.33648974,7.261512691,17.34202029,8.92000283,0.570661461,32.24642229,13.8758096,28.73178286,29.76613476,11.8520193,15.13755278,0.984411001,2.999743803,4,0.558871325,0,1
53,0.249131265,0.262711908,5.127815311,3.61286691,6.248659798,8.689391014,1.265843275,15.61012752,5.817201837,19.18359173,19.72549925,5.258207645,24.64972989,0.716203528,27.82935511,4.377121587,21.39233686,26.62613055,36.26917127,5.607034676,15.26873814,29.88011947,36.0126207,41.21134958,0.968506531,3.370438344,4,0.31161221,0,1
54,0.620794084,1.622631178,3.668268386,3.760953541,2.284106288,4.73555105,4.716255527,2.174017893,17.89165678,12.6265405,12.67122335,12.3194071,14.82148393,24.60631389,29.24622245,27.90952363,22.32531255,16.01674721,15.95528417,22.1412623,6.614578908,2.69677843,17.97864587,17.51676495,0.960487184,3.566492346,4,0.416924847,0,1
55,0.583386208,1.131699163,1.202536129,7.433287408,9.280743918,11.51801218,12.44786422,6.64227281,17.28700563,15.63531171,0.581115514,14.95777481,6.324453899,19.1513398,18.19821731,10.65402161,9.93001164,10.59890098,5.029220344,19.8824364,39.45504243,6.475964078,21.1000876,29.0436588,0.975397454,3.109566197,4,0.259020554,0,1
56,0.526628929,3.220107175,2.347343737,6.319549866,3.97538942,2.660434201,5.858834002,11.26860408,13.85740532,15.76309605,11.88245384,20.30379991,15.86830264,27.09578515,20.01812603,14.98821744,25.66917684,11.7907758,6.591253022,39.36245128,23.22862908,21.70245995,29.66153118,5.236539025,1.271487324,2.989403472,4,0.905880078,0,1
57,1.169272216,1.585365033,4.333341326,4.810190512,8.956343838,9.880765947,4.807346594,4.820693194,6.175551839,1.139492804,21.99318816,5.316339503,18.00421002,2.042723339,3.632403078,23.3787728,30.89156929,3.548976198,8.027578914,33.49978974,38.66280348,7.274707469,15.67120693,45.70434803,1.401505585,2.641814265,4,inf,0,1
58,0.248845308,1.71839562,0.342449458,5.730509596,5.240980909,2.261439063,0.813070899,12.72129959,12.6248334,17.22967474,11.68068559,18.20789705,2.516128976,17.01103173,0.655239793,29.90478384,5.681841219,21.70461676,15.89500388,35.20001295,6.926600727,28.86944552,29.14143494,43.21662559,0.825259422,4.254149621,5,0.825010778,0,1
59,0.017885803,0.81372178,5.20934946,0.126082514,9.847211938,4.657482209,9.171196414,7.346067351,0.312176381,6.186405481,1.290378651,8.985023798,10.38480795,16.09927168,8.125300904,14.60836307,16.43713391,5.006735536,20.3320893,31.62293031,6.440363292,3.206215766,23.76854399,47.75774792,0.804782721,4.450463707,5,0.165057703,0,1
60,0.268807961,1.400883882,2.83236364,2.470489011,6.492321999,5.885933383,1.570296928,1.937700014,14.79300637,15.03479134,16.33251991,18.91552116,18.800733,27.65761255,21.78825904,28.33424148,19.4482621,31.52149191,28.89130828,15.23479939,14.23898427,27.08389295,12.90139156,37.30554002,0.798173363,4.474357654,5,inf,0,1
61,1.125617487,0.612769116,0.445359076,6.993192857,1.389172284,9.302615226,4.819903063,13.21907107,1.529366914,6.584477811,5.642177774,19.80958697,10.27458926,21.32058137,3.801936103,14.63292809,24.06169941,4.213773061,34.1982097,18.17684866,2.648547465,6.95629813,34.58197785,40.18610461,1.033002596,3.060552172,5,1.072430311,0,1
62,0.619223316,1.781068468,0.817893547,7.047582995,2.28083495,4.926893826,1.82663829,7.141392619,14.90497893,9.571978707,3.691501535,7.435738433,5.353220159,17.5889268,9.836343771,17.95420659,26.75651407,3.039290338,4.699314005,8.13140904,15.88926011,3.628588424,25.103325,4.878174118,0.969275499,3.425810312,5,0.984933958,0,1
63,1.502013133,2.591296323,0.696565222,6.318247203,3.90660791,10.90082263,2.514093522,0.892568461,3.419611684,19.78268522,0.578328441,8.292739806,4.388051613,15.91708373,29.68165613,21.36493731,26.23634477,16.13837887,29.49367643,29.66630321,9.850547154,41.47172725,36.05522814,46.67026264,1.473136738,2.71167853,5,inf,0,1
64,0.671762615,2.10755424,4.988463841,6.833064595,7.250034669,8.585482415,12.59801998,13.8339133,17.33829581,11.48028362,16.57387413,13.51254606,11.75123634,13.475993,24.23640383,21.51565909,13.00427086,1.571397358,1.884536605,39.72986745,9.681786824,29.13160795,21.59743038,22.35541175,1.425927925,2.728015904,5,0.850008338,0,1
65,0.601699041,2.425880562,1.013654414,2.018103443,7.093897322,4.357073061,12.23950497,8.100773474,17.82721477,16.64697727,12.78796386,16.25094888,25.52470468,22.6104195,8.056172154,31.78843647,18.14044128,0.768611544,12.62147168,2.329491941,23.18797988,33.78707691,23.19286524,13.5613612,0.90789642,4.331183927,6,0.697701437,0,1
66,0.727197177,0.16506321,0.213067831,6.301882808,8.23447866,2.332034821,8.383521987,4.194677349,0.270156381,1.141428149,16.23214472,23.27439491,16.20682489,0.481018737,20.38509939,4.407811879,0.379910621,25.80867673,29.69418696,2.423228021,10.97595764,2.778118218,24.55744345,28.50083145,0.824290725,4.581266528,6,inf,0,1
67,1.280671261,0.224229612,2.961213728,3.653986799,5.074181749,5.15327447,1.485482192,0.530170899,0.072481945,11.60180059,21.00520684,3.427658344,12.51539663,0.084683108,6.838811146,22.99304597,30.79673177,5.558926442,14.58488118,34.0116504,35.37981366,24.89544982,42.63616934,7.811598531,1.066780841,3.071028743,6,0.685290899,0,1
68,1.919133782,1.73402777,1.015896306,0.041079511,0.438465733,8.595228621,7.592329477,3.368348983,15.35889606,7.409503421,1.496594191,17.74826489,24.07059646,7.973640194,22.53882892,17.04363681,24.97591451,31.90202027,29.85665627,21.99341747,41.97180896,8.136868203,0.75020104,15.3793092,1.033738732,3.124463979,6,0.362752113,0,1
69,1.616492381,1.116437468,0.461619964,2.219292516,3.548538586,0.079674382,12.54935733,5.620094875,4.155024399,1.355426047,0.654154636,0.14849703,0.37536679,0.837711598,19.54326112,26.36205263,2.094665965,4.420654225,29.09500865,18.48611399,4.967030619,41.39871648,33.04669077,24.87351466,0.989597476,3.724774822,6,0.543742528,0,1
70,1.259601764,0.349694178,2.636291885,5.091207185,2.135231987,6.104418958,10.30692136,12.39362204,6.245531778,18.21029249,5.434670409,14.1838873,1.119279215,8.654456942,3.757875115,26.22822909,27.23270138,29.24252713,3.008240575,23.54414158,24.25431748,21.07976649,41.03288073,33.24319644,1.007204316,3.58586198,6,0.386930976,0,1
71,0.434517239,2.4045821,5.310256286,6.940701488,8.191015637,3.991220601,5.03166979,6.93697831,2.729847588,8.82820497,20.09772923,21.46223507,23.14142162,19.90478815,3.982793797,20.44542186,19.58216744,8.649604429,7.754150685,39.64041331,23.93315435,10.04974154,42.49172294,47.18965638,1.441634786,2.930512044,6,0.738128587,0,1
72,1.692922639,2.169824677,3.10206741,5.138346582,3.557755699,2.416133973,11.01018392,5.367377889,0.010306336,7.673735931,20.92214607,23.80964399,23.39703972,12.23213483,11.77691615,18.0556285,27.79698122,5.352828596,28.24642589,28.84029408,28.50736376,31.65591684,9.12337736,26.42828181,1.472744732,2.774115666,6,0.230076687,0,1
73,0.105512971,3.953525682,4.548210305,5.887527396,6.49454661,11.74333118,8.335439867,4.422976886,11.58772329,6.203840923,19.04522904,11.91631412,24.19203476,17.008287,8.737437053,8.684091631,23.9926095,0.978428691,16.93195487,0.996656942,19.45822659,39.77318803,3.650012641,37.43329049,1.526859722,2.729041931,6,inf,0,1
74,1.709124901,2.841761397,1.83463041,2.875960213,7.578372229,9.394572366,1.441024247,2.094964689,4.54820836,0.95555921,18.44024394,17.97460394,15.51881723,15.12889891,21.55292633,5.943396696,14.00378053,6.202320035,32.2104684,31.23325904,38.10644663,40.97360337,42.12704688,4.365836662,1.24095373,3.143927964,7,1.242478214,0,1
75,1.937844858,1.078588881,1.367861942,2.249221313,5.034844749,0.269725208,2.360969083,12.1653458,15.15050615,10.02239937,12.94322814,0.308471871,6.663662579,14.47402127,3.514867141,5.549219609,7.333209411,10.59609985,29.40651974,20.63175224,27.13629103,0.076795885,40.89250309,12.88527465,1.053566224,3.377942591,7,0.727535594,0,1
76,0.25241143,0.922698106,5.020395403,0.996250898,3.391725242,2.324046605,7.277720637,0.239265579,17.43102542,1.934173141,8.935438359,21.08667787,25.91254333,16.62195724,7.933675023,0.400473126,23.41277561,35.95974504,18.46243566,35.53775419,37.37808973,4.306929171,38.46756642,24.89594853,1.000943148,4.474978961,7,inf,0,1
77,0.247687472,3.253772959,3.678708897,2.059477006,0.103965751,11.57807152,4.000482193,2.165467145,12.31391683,11.25449799,17.34633838,22.47294592,5.654759391,8.493102491,13.11379738,19.07385805,25.95107275,25.08337108,23.76868953,36.3969823,34.2505764,7.391119406,36.97804779,20.60945546,1.016770734,3.685278858,7,0.195391284,0,1
