parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.472570262,0.712950908,0.204506651,0.011777019,3.258919561,8.873452738,4.713428278,6.081714237,8.10414454,19.35210713,4.014808138,6.13129351,20.52372189,9.261410207,3.52578732,7.052766562,16.48563746,19.01523002,29.41947489,30.22147,25.32542996,14.13381167,12.75787458,23.75696661,0.651119704,3.976000563,0,inf,0,1
3,1.501168541,0.006117495,0.889252869,4.599788144,4.657236142,0.772949198,3.715015422,13.28511186,3.838281386,1.898066445,3.707556541,7.60768817,4.531835492,12.71870226,6.246507323,17.36730506,16.5258431,10.16112259,28.28020671,8.526563366,31.27851866,28.77813752,24.4129837,10.57492942,1.198207019,2.985263058,0,0.179823212,0,1
4,1.213917106,1.857065563,3.694879804,7.870448761,2.509144897,5.109206705,6.516391658,12.43169525,8.240606332,15.77830869,2.250170797,4.372141373,22.80962953,13.51132767,28.10300694,1.818835023,11.38230155,9.695665187,4.574358847,11.16792403,1.085053033,32.18388913,36.33505483,5.163771361,1.87330705,1.86704054,0,0.110207685,0,1
5,1.342826634,3.53619194,2.209678144,0.314100442,3.194662765,8.947542844,6.208159631,8.074707025,4.320244825,12.82189198,3.609272312,15.68785429,13.92949778,5.841467364,26.50623897,6.290768199,20.83254416,6.987623124,15.23319098,11.69421426,28.10360946,4.025253852,8.125329418,32.51723068,1.364958065,2.420452743,0,0.177940921,0,1
6,1.948194099,3.789887808,1.072064608,5.764475205,5.234622957,7.116990851,2.177803065,6.787538972,1.913832206,10.12333266,0.836474878,17.99809518,3.679598369,25.25711422,16.49528022,14.85990909,28.95497806,16.70044506,18.22439001,17.27321751,12.27106717,17.58667209,3.709032191,19.48904082,1.885984236,1.654775481,0,0.174612848,0,1
7,0.333292427,3.172067199,1.350207154,7.074118588,5.297671302,7.27363607,3.152842422,4.218825043,5.030838989,10.00864007,11.36014996,2.540688058,8.19782723,11.69996207,3.888837255,6.296883183,8.759531636,1.575305124,24.43132664,12.35931399,39.24528167,16.33935492,20.81111427,28.51433223,1.466227569,2.362784025,0,0.234926879,0,1
8,0.938950338,2.944380939,2.116229235,0.738656803,5.676081688,7.736226529,2.748868437,3.584686899,17.95499915,16.08867315,10.36256365,7.202513682,23.30012291,3.650435126,12.32772122,22.30369945,20.93401887,21.07810096,19.9479165,28.76566478,37.68951498,29.19383904,35.1142763,18.34358184,1.301628149,2.825717085,0,0.140141251,0,1
9,1.214261478,0.542050954,4.693414661,0.24092729,6.818950006,3.777648195,1.039122821,13.25201185,6.013640411,8.587363375,19.04221986,9.847123253,19.10913236,15.9044898,18.51603795,13.84844646,17.42849618,34.01075724,3.303406018,29.1017005,22.51851615,14.79708733,13.07298171,4.341488154,1.285488855,2.952996107,0,0.121487402,0,1
10,0.548634646,0.013968837,1.804697144,4.154179609,4.004577839,9.92452799,12.85713082,1.267297633,13.02008152,16.69341797,10.84388383,2.77812976,5.923618388,17.118312,27.79611378,29.53125643,5.397922591,12.27530657,24.266785,23.7635309,4.314836685,37.64598126,28.08043521,14.42826313,1.059561058,3.412763797,0,0.323984166,0,1
11,0.224050668,2.897163771,0.050641983,7.798719916,5.700696392,7.153732282,13.19409683,11.26338266,6.200955318,9.913536281,4.654517808,5.41948918,15.32057714,10.3036202,2.892945348,29.50265076,17.92159407,18.01926122,13.42616577,6.103278183,19.15916827,21.53749538,38.933695,39.49938894,1.302607749,2.573212854,0,0.178864993,0,1
12,1.835459646,1.94381182,3.453258046,3.587069162,3.496250157,4.07399357,1.564435526,9.961394903,3.080959094,8.481345885,0.786323409,12.88928233,5.739174492,16.67523352,10.06226691,6.706074905,15.01790363,4.04237665,25.80569353,32.05670095,4.2171442,15.10711884,24.26484527,19.95708665,1.672955371,2.031541224,0,0.15662384,0,1
13,0.518617228,3.920736707,2.300981338,5.388731084,6.22732467,7.032217725,3.284005781,7.21905374,2.872922645,12.243611,19.50302873,16.82482526,16.11569364,20.38156311,3.820338591,29.46591858,11.9975974,21.99820757,14.95776291,21.99385819,23.14765713,10.17898311,5.708097279,42.04404376,1.573847977,2.128976378,0,0.247027653,0,1
14,1.717738541,3.095359002,3.456743353,6.350020904,9.812695189,10.0393113,7.300776194,0.712681382,7.238761199,5.505391592,17.15516408,8.275872521,13.0611178,7.010359704,1.94705154,10.49977891,21.37873377,18.58238569,15.28722268,35.92393581,16.65828427,11.40851173,16.38283148,3.891138161,2.052326462,1.548448173,0,0.112262626,0,1
15,1.462171532,3.160918748,5.78152027,7.619343885,1.991741134,6.708202326,12.56261586,8.575305378,7.863613943,15.83911018,6.492723364,14.84510251,24.14679399,0.830157968,13.99550407,8.533381665,10.17644906,19.21537296,10.00888395,6.541484028,39.31424651,0.777437202,15.318101,32.77929888,2.187978551,1.031998326,0,inf,0,1
16,1.839576357,0.626468588,5.124517478,4.503397786,0.40920869,2.468751071,13.283513,5.297017193,10.89058712,12.21058266,11.42626103,13.07035751,3.143427582,21.45031352,18.92093933,24.5464873,30.30342006,15.62909629,31.33004899,5.589556096,28.96292871,12.71622523,25.99001881,26.35013082,1.754984532,2.014860089,0,0.156382875,0,1
17,1.15280631,0.649829281,1.360237449,2.822871676,1.779888212,7.501934656,10.8299516,15.99141063,5.789617289,7.236997212,13.63360975,16.4081489,16.87882752,23.4125405,16.3198241,9.710222335,21.78014982,23.37925598,24.04810527,10.47527985,8.766720248,37.23022285,8.192797636,41.68506028,1.094852909,3.117214395,0,0.235424593,0,1
18,1.531286178,2.879154989,0.880277468,7.88426132,7.636949217,5.582965028,7.341864535,7.915942577,11.14404782,11.90959147,11.64884446,2.427797817,5.604041117,21.04199484,7.148584536,1.683045583,0.349484769,15.44305273,30.79751523,15.14729237,41.33933268,3.450923964,23.69774814,28.90164742,1.864403745,1.937887626,0,0.127200247,0,1
19,1.414740803,3.569116921,3.155868612,6.460040966,7.073406272,0.515091868,6.14771063,1.885780084,15.40986217,4.448234228,11.92935776,16.281259,18.17408624,3.292008606,2.086051064,9.674280076,8.008401694,25.7792455,20.19287274,25.46148311,8.918103253,37.26416065,11.87284882,29.92287392,2.005054794,1.605355512,0,0.144351786,0,1
20,0.333236016,0.923783981,2.021026528,0.371087185,0.039888437,7.855171218,10.49570697,13.52775168,4.129008008,0.798732224,4.334915958,14.91557108,24.39064621,15.36355233,4.35624369,24.2002826,3.855631152,7.948798069,20.03773795,14.6601564,23.95219765,8.336168137,34.21315495,15.542612,0.933916303,3.762734818,0,0.45708043,0,1
21,1.658340101,3.249048014,4.39542531,6.082191381,1.093978559,1.34710991,7.290178518,0.747496306,16.29726665,6.711793663,8.114102225,12.35551426,8.906194805,11.02292917,27.67344158,2.530805738,10.13331552,25.85912772,15.96972346,36.81201731,41.86911767,7.870397674,32.72576769,45.46244084,2.160283256,1.458867963,1,0.180878659,0,1
22,0.418856731,0.282962549,1.24393844,1.126610408,9.837016678,3.726774448,3.429606195,13.34244891,16.81078014,17.84251463,5.074019312,0.380183851,6.870758261,27.24099395,23.95708641,5.12136247,11.09887298,24.03933857,15.70646773,19.06954607,32.2795732,36.39098142,4.922756637,31.03739052,0.926099913,3.983622347,1,0.165352468,0,1
23,0.476275748,0.642011574,0.539148756,0.2254291,6.822661416,8.870166508,0.665807342,7.151986158,10.64736077,7.4083571,19.3243999,15.05484993,20.51228561,7.041744632,16.52923947,4.38269613,1.93430845,27.94433248,20.04388281,31.41274101,17.06999951,19.23931801,43.90403634,1.720628589,0.787859105,4.012842808,1,inf,0,1
24,1.814350585,2.133161907,4.600868074,3.415971356,7.809730034,5.807838688,7.715968506,9.925613049,16.34183347,12.57941837,5.608806854,5.944080099,18.74546867,2.274954596,2.667419188,9.375663433,12.39658271,35.895902,5.24875872,9.515704866,31.8576665,13.89685797,25.59777297,7.773371658,1.877882038,1.926471736,1,0.121128523,0,1
25,1.790917619,2.881862095,5.942591039,1.19041579,0.776169617,7.998280626,10.41154748,6.84445103,1.583592824,4.45145969,19.99289717,16.03271368,13.40045626,20.67969824,27.62842075,22.52717636,18.28646603,6.319502659,36.78636361,33.78621973,22.55300901,25.65348245,29.05570639,35.54560491,1.930946967,1.798209746,1,0.159754908,0,1
26,1.699226966,1.282625135,5.071428406,5.458345649,7.818534536,6.466888135,8.880607582,14.25818332,0.494227627,15.20622102,6.823742418,4.699411923,11.66485374,17.49427266,4.870810498,25.28828957,26.5958548,3.733355457,18.30422652,2.100646077,23.22207284,14.73042508,6.213724876,46.48685352,1.903671945,1.856970385,1,0.083036274,0,1
27,1.007121011,3.134752702,0.187168081,5.972513373,5.320026983,2.595242469,13.79563023,10.21143019,8.414162552,5.686098784,17.44120985,7.327320254,23.20055671,14.25683943,10.97771125,21.91048736,29.00995887,26.20692895,8.967564774,11.30288566,11.38843202,13.17486224,28.3315063,29.90108365,1.477168404,2.379657105,1,0.160600873,0,1
28,1.408706778,2.611725244,0.338830799,2.415456556,6.909961676,10.78104621,9.21963683,13.39682459,6.263242726,2.740462885,8.985923914,5.744748802,13.40964542,11.47426988,15.249147,23.10061462,9.891785671,33.73635394,7.875473569,22.56707473,11.4795902,17.31689532,6.696215591,4.915405894,1.330124762,2.756591908,1,0.172347054,0,1
29,1.279265836,0.065324834,0.198202308,6.838020105,8.55758678,5.916125385,5.863669303,8.94396501,2.739116901,13.70864717,19.83007241,16.86307096,17.9726066,8.123586715,4.633788096,16.4657972,15.28549608,22.42159463,3.292576194,19.74683826,12.95754443,0.687428369,40.77645313,37.6521824,1.327844214,3.012218677,1,0.220389916,0,1
30,0.509705469,0.383963462,4.771871608,5.727829818,1.217568928,1.697214586,9.481337116,3.416148819,3.574005561,10.29311269,15.68873278,19.14807215,10.53028887,27.79441009,6.394211281,21.01124653,10.11367856,28.22709941,23.43239598,7.208420138,13.48786475,16.13404763,33.69624495,7.421492023,1.373296408,2.580095015,1,0.08209957,0,1
31,0.323619969,2.634829639,5.888588579,0.313669453,2.625902401,10.05582234,7.138702535,6.243336999,2.68089901,13.89132518,15.93602708,16.5792392,12.41618821,0.121863265,12.89608367,19.32097096,21.2001628,15.41737177,4.072667376,21.54515252,11.83800831,20.26092839,11.26758405,12.06099557,1.349114467,2.587378209,1,0.094422722,0,1
32,0.819482686,1.505591486,5.914694448,1.242665875,4.241325412,0.911874672,4.313515106,7.53017832,15.70082714,5.766749,16.62876921,19.11389855,15.87084332,8.044159078,27.84774243,16.52265034,7.377984525,12.86412803,7.572749942,17.71698314,36.49845163,19.20611502,23.67949941,17.52894761,1.46545419,2.574571904,1,0.14368554,0,1
33,0.249723742,2.762367684,4.096587121,7.307687181,3.778610081,2.982215005,6.072659317,8.457625325,4.262514775,7.556914666,21.88264852,22.2308632,12.18428421,26.2853117,12.08485215,19.0904689,23.71133798,31.51215922,24.91766009,35.67138259,12.49938032,39.56651319,7.860657244,36.33226713,1.732580034,2.11506122,1,0.123446372,0,1
34,0.224120874,3.230122336,4.048839365,6.199742884,8.148681062,5.695734105,9.266469981,4.459997982,4.001593844,5.572045512,10.72426101,23.52658987,20.48040633,6.778235229,18.47251581,20.56391881,15.54697293,13.10790132,12.27427841,10.91722398,25.01251426,0.505100007,3.761662366,17.22367226,1.694596384,2.140548221,1,0.076826505,0,1
35,0.254915031,3.666529747,5.58669932,2.792879691,1.297050938,0.177300742,11.19985207,12.60332047,17.69248691,15.23804361,6.038209804,6.686167776,3.636027566,20.22138811,9.077562628,12.77770831,8.265332783,23.26390728,25.7983576,36.17205648,30.47623007,28.43070831,0.94032356,1.373955624,1.636698399,2.150223699,1,0.142367739,0,1
36,1.951901447,3.050826568,0.196556254,3.202461926,5.422226796,10.54530837,10.17639435,10.69044212,8.442780756,10.36493939,11.48450729,14.72254429,15.82259078,9.422340964,1.949874684,15.35044856,3.87807647,29.62749372,6.888446186,17.83728429,28.47490575,39.65790832,41.41505444,4.302864208,1.585233684,2.327646961,1,0.111249963,0,1
37,1.097915187,1.016637434,5.355981425,3.66202019,4.421110129,7.227608115,9.793842745,5.265984406,12.60404021,10.23870043,14.92845175,7.478833456,17.86913143,12.90550672,8.154873809,24.20560978,10.01257596,17.96498601,15.5355352,23.61448927,40.99089012,15.40345733,34.09552511,47.44700137,1.582468468,2.352168898,1,0.091198925,0,1
38,1.812298588,3.586234277,2.673016178,6.35328339,9.496142255,1.80973404,7.490602387,15.22534075,5.406322687,16.48972301,9.597956843,9.206006871,1.692225555,13.82110354,21.32841168,31.08894555,29.78668806,20.31062468,8.49789789,29.12909217,11.96053895,26.89566644,38.76916782,9.465605006,2.119846193,1.556289718,1,0.159065285,0,1
39,1.696099381,3.805079344,3.437935358,7.500347697,7.893998079,7.355992989,8.200091582,2.219707589,8.639201194,3.058785879,21.51187256,13.15253042,12.64297903,27.69815128,29.3865957,26.00593554,18.51795977,30.05339066,1.668211339,34.84207143,2.38783685,14.92458864,25.08387756,14.9489323,2.292306093,1.327527771,1,inf,0,1
40,1.499895309,3.684807537,4.512412963,6.847318726,0.958304807,3.922065807,12.87054357,12.61355284,3.434177229,19.92780548,1.029995042,2.543018724,5.76065584,25.36711331,20.87437707,14.55514926,4.246320064,8.216213511,20.71549069,2.370058548,23.23343398,27.27721693,44.23858045,24.92665125,2.286198334,1.367498523,1,0.136665595,0,1
41,1.895601744,2.210402095,3.943724967,2.924079152,1.880330137,5.437809051,13.37361952,3.704586505,3.186981899,7.136949025,9.11161723,7.217684888,10.41261411,11.49882429,22.23026636,8.548714873,30.61583737,19.65803744,0.73018188,12.04801297,31.54484961,40.83346217,43.29280003,20.66963603,1.822943983,2.038145806,1,0.1668116,0,1
42,1.3503589,0.08145145,3.272451043,1.133035888,6.280652463,1.354906759,8.106472443,1.188528665,8.07646292,19.62281531,3.186088171,9.136705168,18.93421356,26.08866805,13.043583,9.388883984,18.15105859,9.621761715,11.83607394,20.06637193,2.173678751,6.945782186,13.77131537,37.93663049,1.212718973,3.138848515,1,0.18464532,0,1
43,0.532945704,0.807469635,2.61902114,0.180921717,3.767556481,11.8647537,13.47228719,3.403187969,2.646740362,2.940706917,14.21010126,9.892432252,10.44105725,26.96253504,21.81060346,27.80413305,0.22640745,12.31080423,0.951744305,36.72409198,15.53905202,19.50273166,23.86231314,39.01509421,1.111804896,3.720616399,1,0.223254797,0,1
44,1.289550711,0.136498054,0.435982809,4.369857357,1.946746174,2.278335454,10.82063067,2.772998275,10.29614825,12.13537428,15.95547785,15.40025102,10.16997164,1.923873321,11.3202909,24.35123852,8.449427199,15.7931224,2.089897257,26.66921693,37.63641401,7.98179037,43.42151549,0.485029102,1.166172521,3.219478761,1,0.14514046,0,1
45,1.90382478,0.286025228,0.189876702,0.876634497,4.633024874,11.17452364,4.051528496,5.005445871,0.945595754,9.148455869,9.978383041,15.7259976,3.214857194,21.85414275,20.00857364,16.95129003,16.47740207,21.690073,2.038975431,34.39515765,27.82140717,0.68811246,43.46265401,29.80141398,1.132655116,3.385688927,1,0.22275949,0,1
46,1.707602554,2.181545595,4.460000767,6.199894954,6.759303657,1.759170103,2.416531987,11.46550029,12.56362665,10.93153405,4.994070034,0.704581523,17.32352339,4.671984353,4.988421562,21.56901492,27.64225718,19.7134217,11.03478038,35.77190328,12.11799206,41.73017205,24.67442247,3.435989387,2.030349844,1.654087835,1,0.215650572,0,1
47,0.900426667,0.659890236,0.825980898,0.572238289,2.8049336,5.366067329,13.37142314,7.236920798,12.0202652,6.568895827,17.58744983,22.39292939,12.64580469,3.099362544,3.310245506,28.02579551,18.12076105,5.867712521,26.25948098,39.07888867,28.64957653,0.695411786,40.24413281,11.2852404,1.019124814,3.782556071,1,0.15879691,0,1
48,0.143139958,1.546313799,1.334043074,0.372055174,7.106096781,7.637521262,3.905864035,13.76557186,16.34263466,2.402517204,17.61330802,10.98092714,14.39529114,26.99546743,2.861929746,25.04538986,7.629715188,30.11475217,5.08999195,2.747819013,25.67061376,20.10269195,39.86885583,38.92204274,0.951629015,3.861135259,1,0.136709519,0,1
49,1.19062038,2.781373898,4.990488966,4.961805891,4.066696776,10.60302823,6.216345626,0.451841318,6.191947856,6.041848658,7.552995256,0.902714476,12.41426036,15.34727816,13.93501859,24.9716535,16.67692498,11.87888407,0.964321402,15.35758276,29.14403811,43.28081058,7.468541825,40.14644848,1.971144469,1.857203127,2,inf,0,1
50,1.474262115,1.637471191,3.718780857,7.390269523,9.886453496,6.739376232,4.319890872,12.64120247,5.5853668,3.353058201,11.97528707,1.887692277,16.33131115,8.326118059,27.49603923,9.295837479,31.50852577,7.312707975,28.04575631,31.33995725,34.21193848,2.200443666,12.27669281,36.84832539,1.971105937,1.935986904,2,0.264587457,0,1
51,0.393262835,2.995166992,1.96314999,6.35381477,8.93613275,9.032545212,5.785761299,14.57279827,0.65699878,8.26640734,11.74037093,12.21027169,19.44110456,20.73358056,6.639116299,15.90251839,1.28274784,5.893542523,19.65208916,12.85690967,4.86553255,25.73999477,22.94004725,21.95050909,1.522967988,2.422705473,2,0.320777659,0,1
52,1.047149615,0.907252789,2.058917689,7.384292907,5.934233174,8.074751784,10.43268394,5.728765474,10.56527596,11.67985313,6.458848645,11.09935748,17.24684572,19.39741744,14.20640386,0.566041296,30.65840647,32.70553669,0.782161687,29.36268983,9.20610594,28.36235079,12.90576808,7.772873661,1.479564744,2.454698394,2,0.204594895,0,1
53,0.108461797,3.286991277,0.506888003,6.037931767,7.928159569,3.820856565,3.707911538,6.813594579,2.599362143,19.43271222,11.29525307,11.70136587,7.796469275,9.419422738,26.04273382,28.2324553,6.773874874,6.150579812,26.02967834,12.3921323,30.58598123,2.130538992,1.28965535,27.17500042,1.3378572,2.765054917,2,0.455635287,0,1
54,0.166555197,3.371605188,2.694742654,3.384073788,7.825363599,2.16897172,6.858824752,7.201693652,17.1146858,7.30216641,21.29055166,19.71803693,24.06755944,20.79859847,2.565187547,21.46047902,27.69518661,12.99620274,3.392217601,4.614427347,5.988140371,28.07334296,21.86165797,21.5224086,1.437807158,2.740339316,2,0.204833601,0,1
55,1.47729041,1.622187964,4.002640305,0.52463192,0.231887346,8.476565269,3.263721017,5.935268688,5.459220791,6.210371502,20.69942545,10.02014572,22.51745038,1.026710366,18.84011884,19.12994572,16.58293647,28.33688532,24.31496411,11.44229546,17.46103204,34.35213964,11.66876997,6.722717496,1.448403948,2.633087093,2,0.206439337,0,1
56,1.639106565,2.416430948,1.511002186,5.915466201,0.350239361,10.25870705,3.760409137,11.03762931,5.406759323,5.391372887,11.23088368,18.38349439,22.02235197,8.337650233,29.80568884,3.309903482,23.63924187,9.693038875,33.69887105,21.26753293,27.04855914,33.12568965,5.695164042,42.47106001,1.763463883,2.141071894,2,0.217232114,0,1
57,1.303061762,1.520321064,4.911628097,3.60064067,2.172521942,6.543611669,0.908035686,9.449171969,14.25522406,14.53446082,5.145969154,21.68152056,4.45370603,16.23140441,4.098043643,23.22343118,8.519841463,30.92642966,9.105116439,1.379312164,14.76667757,10.35706613,33.4880206,2.047995837,1.700503499,2.250059628,2,0.114092773,0,1
58,1.220772405,3.100309893,0.101529487,6.850207325,8.423465167,5.685087351,12.91609904,8.794134101,16.58838554,7.947733661,17.19085215,19.19008675,4.05101414,14.25778651,8.222777289,20.79924494,26.15203595,14.18529483,30.89973899,28.11488967,17.10743875,21.01427415,9.628873594,16.31065382,1.666671617,2.278679859,2,0.307450938,0,1
59,0.493095246,3.722707707,4.967057659,2.886484449,0.437661454,9.494582829,7.343135213,7.186651599,13.95417293,2.219933816,20.48648597,18.90722632,25.85299389,9.280620795,16.09923101,5.384082964,5.748615308,23.68719568,8.433550606,21.24147396,4.675797715,24.07873247,38.56646607,10.49093601,1.706636759,2.157819685,2,0.135176311,0,1
60,1.701416681,3.477770862,2.371936957,3.248333813,7.42385128,2.222188785,4.093814923,9.085269974,13.53339062,1.999387015,19.2938905,20.92976851,17.23695368,2.270859054,23.17017546,3.5943421,8.378321522,35.73882854,16.30294515,36.70930699,18.95207462,42.16052967,32.62565726,33.43511297,1.843800174,2.06152676,2,0.361319272,0,1
61,0.766773116,2.527138363,1.05898847,1.670790774,8.028674685,9.528165218,7.358685659,0.827031972,15.73196656,5.296321899,13.43877633,21.61334806,18.17809118,7.839989977,16.12467544,25.01917801,25.43064256,27.59503395,21.46370713,25.83665176,5.258212443,14.90801505,17.29444783,11.95333163,1.239950077,3.139172966,2,0.409108364,0,1
62,1.080023267,0.60296795,0.810452108,3.843612081,9.661220006,9.75234656,3.643901645,0.63739106,0.45104225,3.928510978,13.447244,14.22266158,8.887906563,7.945408469,27.59772578,23.86246195,8.739807846,25.78004932,32.72373692,6.171909,25.03727999,35.93494088,39.59792316,31.45129185,1.225359692,3.265938968,2,0.272436856,0,1
63,1.20682314,0.9914307,0.465197996,0.630200155,4.530549259,0.530545313,12.5498242,8.077961684,2.95770356,12.54795798,13.94133484,8.161158475,24.90093695,5.909956732,2.415227521,8.794207886,28.50292922,16.86636529,11.6115829,26.32068992,38.62214003,16.86471144,3.953540079,9.613684348,1.152930853,3.641564957,2,0.126864231,0,1
64,0.113127183,2.033015114,0.331504985,2.790577536,7.752379777,6.676556711,7.130541861,1.574754302,14.0153586,5.015690975,7.107310068,23.08210615,17.44864596,2.734696975,12.11630187,2.866724902,15.90652428,0.482003125,20.54804145,36.0253382,14.44572366,22.25395908,25.1748583,42.01134286,1.137445661,3.684110072,2,inf,0,1
65,0.514989604,1.421427846,2.532532412,0.636611961,8.564732589,10.10132534,10.24289294,2.765221783,6.941814399,11.39844244,8.210674901,5.89701627,7.008165581,1.284254643,27.99989604,12.07344601,27.25895118,8.721277586,37.13622578,22.37447485,39.48220011,35.96842012,20.50538835,0.774854421,1.182270575,3.510495084,2,0.207482037,0,1
66,1.645328337,0.285410288,1.090763544,0.10728226,9.614049524,11.63704366,7.046721958,14.8806456,6.0887999,17.80111166,8.394854044,10.90299553,10.04784746,25.65164424,0.03952119,13.13467785,5.251623171,19.6304708,18.0997,30.13960377,41.71417539,6.554746148,22.62195917,10.35288907,1.180484474,3.546653054,2,0.106936375,0,1
67,0.359381483,1.472747908,4.660464072,6.351371234,0.48320678,2.839593913,2.34059974,14.1630838,10.29446228,2.66354754,13.47418474,14.47861129,3.552858378,23.31583792,8.403863873,25.94983679,32.35724655,31.9883912,21.57620642,25.0955138,1.148343263,43.89449862,38.51958099,43.68950293,1.622302779,2.444488077,3,0.30382274,0,1
68,1.231636463,2.911722097,2.972081342,1.19562616,5.011625153,5.059817322,12.89117945,5.747684795,5.73062853,18.08750965,11.87132809,15.85799885,2.862865787,24.0144566,14.07090488,18.37291306,9.302213019,23.44950354,12.20887499,25.01292262,5.360865639,10.39527569,28.09309298,40.50499385,1.499211256,2.516387881,3,0.149207851,0,1
69,0.634799255,2.871552619,0.762810505,7.017598685,5.184124188,6.924145606,2.727597958,11.67362643,16.97792414,5.287313986,12.15790192,7.734291746,21.25485717,3.646724776,2.267385376,8.212879707,3.113415512,10.56401341,12.91401791,8.036275107,34.44807404,19.79291558,9.670719584,10.57814159,1.526758288,2.467324235,3,0.226515595,0,1
70,0.146442329,2.428902538,3.632129277,5.067688696,3.093212693,6.619935503,3.161276125,3.294503486,10.50232248,0.538288012,15.8864683,21.46054201,25.49306058,10.33188409,14.10266727,8.509277676,1.022756361,31.10527248,24.48355074,36.91404068,15.93413646,3.089813292,15.3988942,16.10687094,1.494484031,2.615589882,3,0.172610002,0,1
71,0.508498029,2.91133476,2.222682984,2.935495357,1.854697181,8.461680213,12.77937525,15.30442669,0.876806711,13.81542165,17.72111548,22.44063628,19.29067481,5.556656364,4.183688719,8.318289806,11.19209286,13.27500499,35.85420688,39.26899246,35.84156294,14.52764176,38.61293042,30.59138641,1.403699004,2.824498823,3,0.186716097,0,1
72,1.445342942,0.268527657,4.247564773,0.68360231,7.444729835,10.42554932,1.238526149,5.736822461,8.986163662,14.19305359,15.27743292,6.289847022,18.96057859,13.82805563,7.87338783,18.84169264,4.521787325,16.94844837,26.58857446,39.40792579,19.24705454,30.99318115,41.52108808,27.55691351,1.355219232,2.980447528,3,0.416654585,0,1
73,1.177146161,3.001059273,0.234599133,1.774876698,3.735560393,4.789503546,3.931564341,5.563932045,8.889794162,18.22510077,17.74160877,21.6949855,0.804430536,23.37120795,22.98526076,17.76251269,1.667791165,14.01303738,2.139908949,29.44246794,3.440678261,8.826283543,45.32390026,45.64778147,1.36376632,2.964070308,3,0.124906805,0,1
74,1.370111946,2.495103658,0.514663919,2.398114844,2.928440834,9.532178891,9.249140478,6.567199033,2.059860255,8.184102947,17.2025859,21.67171373,0.796522601,7.379915101,21.29528401,3.212915431,4.522947178,16.43515543,17.26205808,16.68964861,30.57961289,6.191295444,7.80781729,11.09209263,1.367572861,2.826012516,3,0.154162449,0,1
75,1.223804739,2.39361708,1.510328535,3.132796366,2.025191671,4.948742243,4.924391142,3.105092427,8.710604365,17.83311433,8.865178282,1.03712189,20.36006074,9.139571014,19.70912166,7.385212734,6.559879829,10.65643451,19.5374222,12.49504969,35.82259516,28.48332915,2.553686118,39.00597324,1.455809599,2.675368188,3,0.141418063,0,1
76,0.127726409,3.880817687,0.163472617,6.012891336,2.973225546,8.277734688,12.13384041,9.164804971,11.05236958,6.370079975,7.4243162,15.17750781,23.70218933,15.03743647,28.22827875,6.341662856,6.787270881,9.457071609,11.86888984,20.35708154,1.091708241,7.756995675,32.6540621,43.32138099,1.453020839,2.73363412,3,0.178269956,0,1
77,0.733429991,1.986989405,2.648047548,7.412489574,6.273978113,2.22417984,4.092052608,1.554557534,6.812017128,15.96657294,15.62691531,0.986512198,16.47173638,10.61914795,24.5684387,28.23577854,0.0510388,8.541451327,7.497505966,10.51165672,18.56422361,1.311015329,16.51547,18.19152219,1.667432618,2.320385417,3,0.291638898,0,1
