parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.89044807,1.210525915,4.536415446,4.761438049,7.099380461,3.167188177,5.873262499,7.031498893,4.986495177,14.02270529,17.56526026,22.92742008,2.171722342,10.15046946,5.731987106,9.725762841,23.22306481,31.63197771,27.96060005,20.03842187,22.211316,8.967389494,42.59543039,8.492647985,0.951618903,4.089620416,0,0.140716579,0,1
22,1.458529565,3.03386167,3.83881078,5.58411235,2.573423175,2.562781336,6.306250956,10.70440092,15.61276606,10.10359997,1.567377943,12.33518304,10.23544541,18.89839733,13.46688097,12.4554808,2.906168937,19.54801591,6.289738526,32.82558204,16.06241892,12.7591011,21.22890116,11.30396265,1.255596931,3.63156238,0,0.241509177,0,1
23,1.395484955,3.650964714,2.897631234,1.740354904,6.455989175,3.240031643,5.271684765,7.65333167,9.20103332,17.72614292,7.297542648,12.91396654,20.29828243,22.04703736,10.9472407,27.46591057,3.434713339,9.001790346,11.91188009,25.79621593,13.32442157,37.2064197,45.32514219,8.055241388,1.417090634,3.58912174,0,0.128366722,0,1
24,0.724820525,2.216107185,2.790778085,0.524897219,1.385009576,2.60155864,0.062404003,4.69013386,8.153651874,8.226669921,10.8944891,22.55732649,4.304055044,12.90178022,20.49217377,25.35210982,10.35918663,13.71546632,22.93926474,5.142991797,29.10096588,27.23209586,5.446668832,13.58504679,1.176825307,3.846482177,0,0.209428859,0,1
25,1.659359099,0.468230475,4.717440327,1.685306392,8.31637622,3.603410628,3.980001031,8.841189072,14.10953823,6.19338176,7.920069787,16.45150599,17.06133969,1.304168215,20.03753078,26.08471028,8.529567144,17.83817145,30.11895573,23.59660866,14.62928936,20.16960965,44.94493594,32.02221496,1.612459201,3.352050296,1,0.199665139,0,1
26,1.990059889,2.780573835,0.001078203,5.866312175,0.993055519,1.580015948,13.23566207,14.4146532,0.560795188,14.25331745,5.514808579,20.35040065,25.23220132,27.49648503,19.43036189,27.3074455,32.0007864,12.51300074,14.27135243,4.37800792,3.067260932,12.21553986,41.64720978,30.89134032,2.126039898,2.699708382,1,inf,0,1
27,0.561397407,1.266178226,5.511592644,1.940685471,2.779758061,4.7780783,10.22386063,0.94731858,11.3708211,10.53442504,5.625032372,10.22288544,1.276567172,26.82824648,13.18383985,16.70118964,2.894733118,10.1699558,21.30026808,30.95118645,19.16535931,41.7144393,39.68204956,10.42230673,1.094849336,3.990768614,1,0.143855016,0,1
28,1.145764775,2.015261063,2.974959021,6.503043671,4.462626179,4.292621007,13.50690023,7.234849503,16.62366555,2.042346644,18.16461002,19.94447037,2.354975609,8.353343973,12.73287987,12.15583579,28.85785142,5.586452235,20.75854568,24.58562362,25.4265403,20.26724494,14.54236128,17.99695584,1.063502077,4.025321229,1,0.111493568,0,1
29,1.698738504,0.38841099,1.366047878,0.903158363,3.138130487,6.074142287,9.813505086,6.017434004,16.56792087,14.90148614,21.19220595,15.49178409,10.87339297,15.6022914,20.64470233,13.61744634,30.0108895,11.93022767,32.52940887,15.01516025,37.69486688,11.47990857,30.14370573,21.27635792,1.626588945,3.324107044,1,0.237236493,0,1
30,1.123811763,2.741462112,4.033322578,6.510986067,9.422108677,0.247295329,5.227830283,7.293892638,17.03591913,9.019461388,14.89740404,16.05918848,3.819213739,20.72150216,5.604660368,13.91121138,8.369069579,10.60413199,25.67840375,21.29315712,12.92259158,37.16854039,28.01785611,17.50226225,1.145563519,3.896022893,1,0.180687681,0,1
31,0.781469704,0.880181377,4.489139732,2.16709178,4.871333063,0.847398413,12.03500963,8.354842046,9.071645445,4.84623299,11.48788761,11.67606097,1.663567086,19.97902148,25.32181603,30.26980456,29.08873362,3.113769789,36.14559463,25.03940837,14.60926219,34.04657602,5.318088613,14.49481034,0.931543655,4.188914235,1,0.164254066,0,1
32,0.49197441,2.626791563,3.078645733,1.601961747,7.083725226,4.385006379,10.88629507,15.25083756,7.289881118,13.40010188,11.46469242,6.683621374,7.372530404,15.6515627,27.55050269,2.359203366,25.69851929,33.76691221,32.06855307,12.9397313,7.475524564,34.3599518,43.98325579,28.34144327,0.943140083,4.185919629,1,0.07205641,0,1
33,1.920779469,2.795924039,0.503315591,1.333039368,3.729869807,5.203145911,11.91329521,2.163183404,8.693591988,16.47200183,9.314854797,22.25236006,8.976418792,25.16747361,10.68432313,17.14843224,4.019921218,10.86200248,37.66741232,6.771771513,23.92327131,15.09567962,17.74061863,10.86507971,1.721649417,3.10727278,1,0.47172378,0,1
34,0.738504919,1.04592955,2.413251707,4.801223823,7.953162907,6.994415888,1.326165355,13.67515754,14.57421129,11.39542242,5.001970098,3.25859132,22.66745972,9.717376878,13.46217495,22.53926076,30.72918996,1.478004095,19.7398711,30.15098341,14.42065016,28.45618661,41.29255667,35.75598604,0.810827595,4.286951538,1,inf,0,1
35,0.13833868,1.532618667,0.676697973,7.793739066,7.558954154,11.31787259,5.112497725,11.97729697,13.94897046,19.69842329,7.395098062,9.359331845,12.40623597,1.471028806,20.1450438,18.09328684,13.85299754,6.873701892,3.727649977,38.89767072,1.124673644,11.72654659,16.90672539,5.327629071,1.884215823,2.886279624,1,0.291458262,0,1
36,1.752927322,2.315905745,5.613817552,0.8258469,7.323920672,11.14226692,6.51084143,12.98919712,11.96006126,18.61748386,4.29248712,22.46714138,3.971277962,4.877671965,28.89808977,6.56228842,6.497678896,14.18285663,9.916956417,15.7498561,26.58774057,17.75601167,10.75354449,39.6235566,1.91042143,2.872474166,1,0.301411159,0,1
37,1.2837865,1.677625441,0.024409992,5.801465504,6.179603789,2.70294431,9.403203578,5.289869013,14.1414147,4.921123193,16.83750828,15.85578045,13.29215528,12.23293489,28.35140607,14.64392475,24.21957813,4.001977104,17.87213405,24.63343755,5.713140963,13.2242715,7.751511163,34.26706679,1.48082991,3.465117184,1,0.277966355,0,1
38,1.873680681,1.021198456,1.934386845,5.996118748,3.113464337,3.685746795,13.24552756,7.375497343,16.54069805,6.258583811,9.728905952,15.45938317,6.765294814,16.9558522,5.139165146,5.503804246,6.968964406,26.51424787,2.053099372,29.93788576,20.17684269,11.26671444,39.49323889,27.17590744,1.428646566,3.57141912,1,0.184061425,0,1
39,1.576637121,2.266973281,3.636446529,3.523280949,8.093474705,4.166696114,11.99109968,13.41187481,7.552881269,10.53677354,10.14697371,6.247550652,17.09876158,12.18405634,21.48275132,2.992949377,33.71019291,6.393218481,35.13104901,16.69769865,5.554475241,38.67889728,39.2057284,22.35325686,1.038655421,4.099919279,1,0.088833564,0,1
40,0.776403737,1.599198933,1.2795593,6.304149759,4.799417085,6.176232045,6.722013658,1.983516796,16.68524549,1.37796874,4.367920619,17.67683751,8.617174081,18.64950093,24.42055954,13.52819031,7.41885977,14.10171628,9.755946316,18.90705267,40.75412526,39.54475821,42.4463365,3.034342015,1.015150081,4.107968853,1,0.065453142,0,1
41,0.655809883,0.928301764,4.430860291,5.323778117,3.609463581,1.477100142,8.59022628,3.635693958,4.442969385,12.86805574,12.30670731,11.98480421,24.25470721,27.38379915,7.711713469,26.20094034,33.77112092,34.65690343,23.3451477,13.06063027,11.12754929,26.3185662,5.712751762,13.16272992,0.983794004,4.137600697,1,0.103862412,0,1
42,0.410619755,2.586941421,0.277080411,4.062731276,5.056211728,9.82912007,12.99041659,0.755052404,3.46915717,8.914667884,9.092941805,23.73596218,16.83521135,19.92444948,28.49001682,13.20774897,22.4148074,29.67499127,9.911470332,15.83458472,10.90233092,20.72990861,8.851203041,32.56444205,1.411215337,3.673254176,1,0.089424577,0,1
43,0.080462045,2.235174543,3.290389835,6.395898033,4.90042711,0.892639674,12.34886981,9.285639238,3.479161809,1.995912034,6.254950587,15.60559828,3.574422114,21.64695881,29.12285121,9.298202897,28.07848096,19.79361393,18.24969442,21.52940448,21.94548396,9.660260713,25.42035508,36.97635267,1.356699438,3.720774194,1,0.11187927,0,1
44,1.836620455,2.299315573,2.481846791,5.802624292,2.525023083,0.787591801,7.283686778,4.385522419,11.88369273,17.80381342,15.10602155,11.99849824,2.891997527,3.452876624,20.79387602,18.28725677,0.037075313,16.31204542,14.29473038,4.584812424,16.70546727,34.34266473,21.68456637,33.07902545,1.402606985,3.681932212,1,0.071388979,0,1
45,1.467048853,2.384583286,1.964164727,7.168503899,5.798861337,10.58383317,10.56986306,2.970961336,7.464539529,10.54252152,19.53291861,10.54609562,25.94318957,17.38256466,19.66343525,19.56901759,14.20711673,0.509070208,3.904650558,13.5687813,16.80699952,32.54223705,5.064383629,9.010435162,1.317016773,3.817990447,1,0.136005601,0,1
46,0.576455589,3.436202448,5.035437052,2.376948921,3.375396282,3.297830717,4.280340766,3.454400427,14.7530326,8.861823104,4.924802324,5.336356152,21.27669558,15.60194828,18.2813845,6.753087048,28.43944858,5.279856993,2.559215651,0.149932044,33.96119663,39.02794782,15.16704391,46.99042373,1.354991629,3.802047979,1,0.091420554,0,1
47,0.367880116,3.178477794,3.854817709,3.933380862,3.557051372,9.496881396,8.183183864,5.447913116,13.44077424,11.25296866,0.00468812,8.656201305,16.37567507,20.94144999,13.37768478,18.71187876,31.2037003,20.88772101,26.74867417,34.58818871,12.41723837,9.224299325,1.019275108,31.97421098,1.249711084,3.890865778,1,0.179523907,0,1
48,0.988780652,3.509754217,3.352216385,4.832578212,0.983069468,7.11603628,5.173349903,12.87045019,2.632123821,10.71877502,6.498052152,19.48449342,9.749909598,20.54585262,15.78920712,15.32896696,0.05278944,14.01821815,30.665319,1.998314474,3.795528925,14.99553147,8.957238963,24.62660744,1.102483287,3.995288216,2,0.250514554,0,1
49,0.303203564,2.534296823,2.436830254,3.412624992,1.468646993,11.55779347,11.47519099,3.241947803,10.17691181,8.506618974,8.983637302,22.94488328,0.605533863,16.46796073,10.3657881,6.236379997,19.70476066,12.06701894,21.81051342,35.51917455,15.16405013,36.70349003,22.02692851,40.88675198,1.09194369,4.086086599,2,0.158287593,0,1
50,1.65799373,3.022948004,5.785664951,3.837848178,0.131817206,6.03971731,7.239683235,7.760384588,8.886013903,2.440478487,5.076713548,20.48594204,21.94708253,19.03485506,22.721643,2.083740805,2.33343527,14.23561862,32.35072826,15.36607243,28.86739647,32.70311719,10.13381567,21.60959092,1.645222327,3.418403364,2,0.335095316,0,1
51,0.549237239,2.809026236,0.747842615,4.002047069,9.825880039,9.620544487,9.710484247,9.044766342,10.89813203,4.303555022,15.47812935,16.16514835,17.72749946,1.906490095,11.48571514,21.29444228,12.65723754,30.17261236,27.24256692,1.929353968,17.26131098,41.44847854,20.4694339,12.84754234,1.206625884,3.948233168,2,0.320142531,0,1
52,1.447417765,1.575824096,1.341131287,3.08826958,0.120719606,11.97052524,1.182301868,8.716455251,10.10001546,19.26332164,4.822163416,5.779681665,13.58613744,12.64628365,16.68797855,12.86457919,23.60193511,26.96606407,25.98124042,28.21956309,39.44601814,4.124738462,31.95536774,2.478568028,0.932778095,4.267961348,2,0.224731067,0,1
53,1.985409123,2.430084814,3.817985536,7.224088381,1.753570575,5.600081102,9.400868729,13.03878562,7.631676465,12.8618493,10.67354121,10.29804211,3.220334289,17.65408603,4.884568878,22.58692267,3.12631572,4.825871815,32.20623614,1.471255521,14.50095185,40.44824424,26.38230585,32.69450218,1.728572406,3.269546072,2,0.33379327,0,1
54,1.005627458,2.924998668,5.642200269,7.61528054,2.865410176,0.200050539,4.883112283,13.41302919,1.959595986,8.072106771,3.855063913,2.83518265,14.98640273,6.864512078,28.08633584,29.16737497,0.00836311,18.35501518,16.72173092,21.58751418,2.02761595,33.68012111,2.280323561,30.14902687,1.811668507,3.249845281,2,inf,0,1
55,0.794792133,2.764970518,3.357659202,2.371491766,4.452493812,6.173067711,6.609562319,0.054087273,12.37985486,17.29980175,0.958344125,8.15559733,15.02025343,0.056222181,12.00045159,17.51598896,22.33471081,33.00028697,26.37401306,6.97973576,38.80476254,43.88131326,34.00561375,23.09966132,0.857527762,4.307649672,2,inf,0,1
56,1.996416931,0.196480705,2.473566945,2.441607181,4.222582034,3.0140196,13.37876719,14.98228838,3.716576754,4.247654487,5.163952253,16.95371076,7.298546349,7.997275192,12.98282351,21.41059592,27.38191361,12.29043061,26.66225515,38.24174012,39.04031485,30.14308671,18.05054601,46.3974095,1.603578476,3.485437338,2,0.203241274,0,1
57,1.691172961,0.660072689,1.510716093,7.030232167,6.851664663,1.301843169,2.951899947,10.44152981,10.49927016,7.475056835,4.884771726,18.08359205,15.83872916,9.3276661,24.62708657,17.7375202,8.047232103,21.05769175,4.587384763,37.94024784,5.424784812,1.006572534,29.89371713,39.54445054,1.51320835,3.487036099,2,0.258135533,0,1
58,0.614429148,3.875386621,2.892234909,0.492126886,4.52527219,2.929974743,3.847261124,9.543702108,9.332571958,18.77972013,10.058702,5.42276096,8.129659464,12.42679689,9.218098864,5.360610293,15.32348407,35.28036606,8.888547251,28.37439527,30.94348314,36.39079838,40.95806262,6.726144356,1.438052499,3.574984514,2,0.309032096,0,1
59,1.338606443,1.105862775,1.287758176,4.101885686,3.336848236,7.213296926,0.871820986,4.819283135,16.15489128,13.19163314,11.05,0.028968914,1.616488531,5.992033829,17.47113081,0.631570329,30.56725159,3.184816453,12.21151653,8.04391295,6.372977882,34.4657186,16.45963383,46.84214849,1.00404477,4.232363668,2,0.205794187,0,1
60,0.559385636,2.742879038,4.448992719,3.844834789,7.440900012,9.259475913,13.89334936,10.46679767,5.276524363,18.3904996,7.079382785,9.436230601,8.03659536,16.84154367,5.13192526,19.43477102,23.47273625,10.25401106,29.17968918,33.13621783,39.81241641,39.98591663,29.43304493,4.112493387,1.04045003,4.14566281,2,0.071552758,0,1
61,1.71826654,1.814118211,1.197862472,4.468943852,0.774261224,9.375600728,3.216542838,6.92866462,0.877832361,9.083983826,19.49907008,22.34352211,2.459532775,17.49660225,25.22005386,16.37181391,22.60799886,2.482750703,17.58070078,13.98563995,1.357250299,25.73037433,42.27191149,31.01642286,1.081608303,4.139582558,2,0.110289252,0,1
62,0.440859453,1.944096153,0.92249287,4.544266084,1.648828422,1.778343437,12.04699185,9.00541541,0.486862175,1.281128151,17.90130292,6.368596215,16.79146167,0.984304697,14.27207897,26.69430598,24.94926298,23.91081017,27.12003387,30.44712735,27.47312151,28.95807907,7.523840367,4.969605116,1.039425088,4.168505123,2,0.120118055,0,1
63,1.060377372,1.603194465,3.910756907,7.91758391,4.368176908,9.36527415,2.380330086,12.01301037,16.73691078,8.517047126,15.76120663,3.699784407,1.084150882,16.08262649,21.61481445,6.09079202,9.282097325,14.14099773,25.96800047,15.26510376,21.93429576,14.31426647,40.79108871,1.216113651,1.367771244,3.727040497,2,0.096786113,0,1
64,1.565413566,1.759637167,5.931558098,3.147719987,1.853668816,4.932848172,2.406537466,14.881369,4.333856685,9.685836945,2.066793428,9.792564645,19.50047532,23.65144235,29.08430709,31.00300069,5.918937317,6.837342461,10.26310028,9.50264751,21.11371738,19.52265733,15.94754323,41.76491157,1.365163211,3.766316778,2,0.211485221,0,1
65,1.314908634,3.885131223,1.647667531,3.86330551,5.742964371,10.82094772,7.479297149,15.0414919,4.374489847,17.90406417,6.686924962,5.245625956,19.22677663,8.896846861,14.35129899,17.21704735,19.73958101,4.520093918,22.65753232,27.6137415,39.49188285,30.62803204,20.36680283,1.827569003,1.421597765,3.712367891,2,0.160483274,0,1
66,0.119224509,2.931822595,3.827544899,3.081414194,8.846178404,5.816388582,7.779540999,6.51041981,9.499426404,5.472407571,18.90278911,7.939856728,19.81487212,10.03927318,23.60284813,19.81567207,13.75672432,18.10297421,35.72194856,30.93447823,35.42120862,2.997585326,24.16298106,2.581455487,1.420179592,3.724929698,2,0.070284419,0,1
67,1.436337625,2.817486511,2.816609848,5.733166875,2.762793978,10.61742303,2.562471459,8.370830497,2.681568901,16.83503253,8.625593376,22.21563108,14.97471564,13.45498557,7.846432141,3.120955614,29.35351204,21.50415848,30.11035961,18.81977084,19.66334997,43.11734687,40.96121142,6.666483032,1.317417755,3.894926294,2,0.338132625,0,1
68,0.636339787,1.492348597,5.292098487,0.966647702,3.589555227,7.64144819,13.86670562,7.068760087,2.548401784,19.49558899,5.86074994,0.843975986,19.92782247,25.1545258,23.16974648,4.173784316,26.8406896,10.90933239,9.734547928,21.91690033,13.67902119,19.13242867,29.85974619,38.11195683,1.125492162,4.043486136,3,0.186718649,0,1
69,1.43008698,2.174133057,2.300535698,6.906241419,0.731680466,7.832225179,9.02982738,9.867612227,5.260760376,17.58620852,3.557940767,2.243113867,19.14723068,4.825439658,23.75880537,25.91883662,4.796357307,27.26629593,33.10776515,28.97857875,22.01905279,41.33664335,12.29008874,22.01393362,1.190640128,4.032681004,3,0.170120889,0,1
70,0.672746316,1.449923316,5.177570659,2.012145504,3.340061338,9.733469237,4.417773799,13.5596782,0.152219475,13.52194912,1.818283825,5.327995224,3.574145451,6.784207135,17.0581827,15.45171703,26.88521905,22.02083914,3.92450902,1.188111169,9.89977238,32.33954084,28.309462,45.46506029,1.11735918,4.105208691,3,0.20099821,0,1
71,1.077299596,3.832884514,0.468290765,3.229817989,8.938975902,1.071519969,13.35946289,1.957304542,9.208915131,4.460860592,9.135996525,0.918371643,14.88332944,14.73234071,13.03416832,29.80107794,10.01363626,35.88269746,20.48834874,18.34365846,25.87605855,43.03215053,35.51715454,37.04975365,1.688214568,3.460091019,3,0.497275234,0,1
72,0.358133028,1.547092485,5.430919089,5.189366828,4.198070773,0.252533472,7.619051507,9.357958441,12.47017363,7.02299111,2.280803005,8.58039847,21.10788407,2.226088159,15.0624733,21.62541847,17.37148171,7.0049325,0.031896143,39.92456784,30.38577895,3.098076706,31.24574876,10.21600541,1.231802569,4.022950776,3,0.157671564,0,1
73,1.159788991,0.113210136,2.986599444,4.729775106,2.056650831,11.42637981,9.712718369,11.23034382,13.97881518,12.75612903,13.65155559,19.27807918,0.315368009,14.7348431,25.26082127,15.97602453,28.59590753,8.955906079,10.16255552,0.985432756,13.5434921,7.752210883,31.75188672,24.13192391,1.23322917,3.949216285,3,0.426577359,0,1
74,0.029661226,0.144889984,1.766097792,4.730613772,0.59657975,11.80814545,10.94320274,4.252337444,5.852570823,14.27309171,0.524064999,1.584854957,2.363701805,7.876554969,23.74465291,22.53414665,1.353246458,28.506067,31.79613259,23.49265318,2.945026483,8.475254995,10.02123463,24.05755807,1.797544258,3.350950251,3,inf,0,1
75,1.160964087,3.26237462,4.72495692,6.884471698,8.409217269,3.11847402,11.33131098,12.51130778,14.94739246,4.112385555,10.16382227,1.620772733,7.351818087,7.940028777,3.344727109,16.26220956,17.83198417,33.40503061,36.14685882,13.9699503,19.70793413,9.178857651,42.2972312,19.18593627,1.575267793,3.512881196,3,0.273690737,0,1
76,1.830983149,2.953533794,4.24197284,3.196457363,8.376124979,4.460652039,13.82604504,5.056149049,7.666632464,14.99323608,7.045641859,17.09082604,2.488730755,16.25482961,0.657835631,11.69517792,28.39044117,25.5334296,31.22273821,23.51796486,2.960771257,9.617281231,27.53704465,21.35370769,1.527058246,3.551612992,3,0.192894982,0,1
77,0.102506515,2.592698794,5.787562222,4.140978908,4.786236963,5.306595673,11.68982375,8.580005221,17.34759593,6.477647802,11.35509185,7.395690334,18.3660311,20.74042669,11.05903933,19.01881922,1.893207845,34.72645816,27.79506374,30.74277587,2.285680377,21.90639272,12.658455,29.25687777,1.534391049,3.512949003,3,0.112149971,0,1
