parameter,value,,,,,,,,,,,,,,,
10,0.991480195,0.047517952,0.100038417,0.225725868,0.358339739,0.14195943,0.784810573,0.372465499,0.061841687,0.724031815,0.999999683,7.602259532,1,inf,0,1
11,0.518354159,0.079229814,0.300391966,0.624828134,0.647318751,0.071825125,0.39672156,0.057811532,0.511597291,0.184450616,0.999808773,7.636937299,1,0.082085474,0,1
12,0.235268327,0.815100057,0.543897237,0.19126027,0.588839936,0.048136796,0.01587298,0.049711015,0.399415292,0.576903964,0.6913158,7.905521306,1,1.223982286,0,1
13,0.087659603,0.128513419,0.735463746,0.962871149,0.567131356,0.947215326,0.856924115,0.703499316,0.180116462,0.619334184,0.309687527,9.018553801,2,inf,0,1
14,0.472475041,0.742764827,0.191956076,0.464311508,0.230362804,0.508247538,0.208568308,0.049304246,0.518861876,0.172278357,0.99775395,7.76116212,2,0.119956861,0,1
15,0.925200108,0.203510318,0.008002711,0.926350711,0.294511547,0.166951593,0.024101625,0.452001607,0.808338744,0.368376854,0.977148926,7.858210996,2,0.133930803,0,1
16,0.540304562,0.467085315,0.218682903,0.440828322,0.480278183,0.333284306,0.00891268,0.505463931,0.673147279,0.055459322,0.987707119,7.817723897,2,0.101117093,0,1
17,0.10539125,0.50307591,0.885689861,0.534377337,0.281476766,0.354584687,0.896280249,0.241489137,0.023884093,0.965726805,0.615518208,8.601503069,2,0.784740435,0,1
18,0.251199975,0.64814016,0.164722755,0.352644195,0.791257139,0.042718346,0.633723783,0.76416305,0.815823834,0.453433867,0.634443668,8.590570443,2,0.524398804,0,1
19,0.988064678,0.144691907,0.048300012,0.899064,0.715329583,0.310327838,0.392940268,0.08078373,0.352121312,0.00101328,0.999997632,7.678618478,2,0.079880912,0,1
20,0.00600753,0.613719674,0.03119659,0.062710185,0.257612227,0.591888994,0.0882067,0.861043143,0.072464889,0.328781119,0.999997968,7.656811575,2,inf,0,1
21,0.593065517,0.671654092,0.411787879,0.197550894,0.289629644,0.142120133,0.783314473,0.412538845,0.03417131,0.624029983,0.915735299,8.037868456,2,0.288238449,0,1
22,0.609206988,0.034847724,0.354577234,0.07851997,0.693185198,0.012712666,0.459545281,0.961317257,0.334185221,0.472083426,0.958440326,7.942369931,2,0.104599035,0,1
23,0.738130968,0.257802893,0.564208745,0.132429634,0.372087674,0.082855462,0.505726221,0.694406852,0.456977907,0.361274712,0.955128546,7.957209373,2,0.131993174,0,1
24,0.406702874,0.356410088,0.151156038,0.856473063,0.102007645,0.953121004,0.166813819,0.439404437,0.160416389,0.879271768,0.823292734,8.297273895,2,0.56132515,0,1
25,0.044927816,0.360132658,0.076017581,0.925426169,0.338023382,0.790980161,0.749122367,0.465830448,0.082326097,0.199965003,0.852233578,8.255813972,2,0.152469551,0,1
26,0.122154074,0.629671416,0.949955036,0.040095369,0.464233013,0.069702861,0.593843981,0.598580462,0.350454216,0.261991983,0.895948728,8.232974657,2,0.252039118,0,1
27,0.934872198,0.78209202,0.517593987,0.016462765,0.298800224,0.540719539,0.85988357,0.185114303,0.083546347,0.044272297,0.983426293,7.897875384,3,0.390584625,0,1
28,0.52527177,0.096774021,0.14632477,0.41510348,0.52487217,0.282036958,0.26221842,0.456978131,0.396003215,0.729957497,0.998862835,7.88428714,3,0.162268565,0,1
29,0.255708226,0.432552327,0.294152546,0.541571635,0.760635229,0.906791884,0.771671092,0.564867609,0.171436848,0.425665364,0.652722743,8.669929673,3,inf,0,1
30,0.113296619,0.948836883,0.751885718,0.101406526,0.584937757,0.907533453,0.643294137,0.66454275,0.225003722,0.081447512,0.769115874,8.666693515,3,0.722323669,0,1
31,0.660635725,0.298495299,0.446134501,0.222124549,0.073364174,0.469238525,0.096172259,0.903370171,0.119490474,0.524799383,0.999999848,7.798000943,3,inf,0,1
32,0.443807983,0.019318752,0.067032051,0.811771514,0.636290614,0.772850431,0.705682143,0.238210915,0.044417942,0.281216892,0.925525045,8.040715661,3,0.53350466,0,1
33,0.124280041,0.921017862,0.044836589,0.22860481,0.842486351,0.305571614,0.484321555,0.650053588,0.143942846,0.30579824,0.91760507,8.213270939,3,0.176397296,0,1
34,0.442701254,0.515020768,0.064406401,0.456558508,0.289386308,0.510327725,0.405985668,0.964581402,0.526782424,0.173997872,0.919884993,8.203516604,3,0.220706591,0,1
35,0.42838241,0.36190445,0.153338484,0.937190326,0.916409873,0.781958463,0.616328943,0.035999436,0.654323772,0.129769613,0.844489322,8.521594364,3,0.788958745,0,1
36,0.578633932,0.009007996,0.709042523,0.470640805,0.764592571,0.467392686,0.26900105,0.83169259,0.551324939,0.070081495,0.903489811,8.316158141,3,0.564150885,0,1
37,0.531826446,0.109336064,0.146032744,0.508788739,0.215650275,0.916443703,0.462152515,0.132267275,0.764241613,0.212733695,0.996141327,7.968077831,4,0.121510133,0,1
38,0.704884306,0.358194163,0.72323723,0.526974588,0.094942068,0.356453861,0.909983513,0.178666377,0.192427553,0.201307212,0.995085622,8.006708696,4,0.341381141,0,1
39,0.478450345,0.399153398,0.275470187,0.051641235,0.13871462,0.778638406,0.178053356,0.583438531,0.928123822,0.107663874,0.999438644,7.953340845,4,0.066140417,0,1
40,0.002296833,0.252871987,0.330268608,0.100651748,0.645129425,0.825310574,0.355244737,0.216428057,0.475496436,0.223543113,0.999999993,7.944858867,4,inf,0,1
41,0.724980121,0.302871321,0.489007301,0.203674329,0.088616259,0.16568964,0.502996533,0.787581007,0.903601867,0.219524089,0.972497758,8.07332978,4,0.558908754,0,1
42,0.561326251,0.922110084,0.650900595,0.063535954,0.30502618,0.491717719,0.411547076,0.317865247,0.48828232,0.062715581,0.937779061,8.106219662,4,1.592478442,0,1
43,0.429967897,0.346288511,0.577067633,0.126526158,0.950043307,0.31361083,0.952831124,0.218393235,0.2487002,0.8638018,0.851988622,8.52431384,4,inf,0,1
44,0.473951389,0.25689352,0.095631631,0.105734223,0.262925399,0.396453491,0.74047807,0.317931044,0.495554037,0.855451812,0.998349485,7.998167066,5,inf,0,1
45,0.635517162,0.037087968,0.253274274,0.87021266,0.139631255,0.018070957,0.689713947,0.871077776,0.355508279,0.39679911,0.997724772,8.051182977,5,0.257171829,0,1
46,0.617898446,0.100721257,0.028269503,0.067968642,0.375883214,0.772834433,0.407130641,0.934954627,0.532677277,0.446410355,0.978654635,8.073498034,5,0.629575831,0,1
47,0.209332436,0.585282209,0.439788067,0.613554173,0.319971438,0.111899758,0.313014639,0.993937883,0.165774176,0.462920086,0.939546282,8.245586781,5,0.711225994,0,1
48,0.558078544,0.062509133,0.439119456,0.859964565,0.01062794,0.085159876,0.428748784,0.587464731,0.859551771,0.614592743,0.947108105,8.216590492,5,0.535703556,0,1
49,0.570066658,0.417926538,0.367843241,0.812994972,0.289760002,0.717391602,0.61294809,0.426909824,0.75187297,0.427812635,0.915403437,8.605041894,5,0.999854346,0,1
50,0.584099825,0.386632534,0.261260367,0.449315597,0.54759145,0.845923123,0.815795257,0.261264207,0.982055588,0.928057638,0.903385414,8.85822693,5,0.594720786,0,1
51,0.436191658,0.511045789,0.971720024,0.002559173,0.064839198,0.846512575,0.945479144,0.766003084,0.651159512,0.815088203,0.884748712,8.897074008,5,inf,0,1
52,0.976480983,0.057447239,0.163089424,0.182594289,0.541292578,0.272698868,0.493268267,0.733942991,0.184755421,0.920697344,0.999874663,8.009411656,6,inf,0,1
53,0.867517455,0.786162237,0.254702747,0.082254909,0.157755996,0.209492881,0.417382794,0.347690017,0.69988403,0.697509496,0.998538357,8.0617153,6,0.562076423,0,1
54,0.604480006,0.955210172,0.415792115,0.195891563,0.16602848,0.62480708,0.056293669,0.328552825,0.980411834,0.771597379,0.945402284,8.461446418,6,0.987148066,0,1
55,0.452644319,0.155992496,0.304210826,0.764123945,0.626921949,0.711095319,0.193460571,0.06843106,0.879655995,0.319848911,0.963525741,8.248289716,6,0.676884844,0,1
56,0.749142629,0.863316061,0.896699601,0.399193961,0.438245404,0.38702341,0.225081877,0.147679827,0.002587488,0.76621868,0.950081025,8.298301828,6,0.363460087,0,1
57,0.215089697,0.958140098,0.997801744,0.549790308,0.747382066,0.73605646,0.299905846,0.85873669,0.342195259,0.79331281,0.896238515,9.139711239,6,inf,0,1
58,0.440239493,0.825642408,0.391217104,0.928511167,0.050894101,0.490289608,0.873172567,0.853792925,0.796315839,0.504733327,0.906878224,8.942886889,6,1.074463491,0,1
59,0.010771793,0.246920486,0.249869664,0.615763359,0.261933505,0.524275903,0.380255263,0.036089691,0.84360649,0.449966386,0.999935599,8.039240375,7,0.234472818,0,1
60,0.831440813,0.526814094,0.032699507,0.7608432,0.423373556,0.177009373,0.701238881,0.597597924,0.275583888,0.06184008,1,8.013056492,7,inf,0,1
61,0.969564507,0.303878428,0.313755381,0.226461614,0.67233456,0.778922242,0.512661703,0.615264933,0.045661167,0.446099506,0.999471259,8.188911681,7,0.512324037,0,1
62,0.367362593,0.738999069,0.460742457,0.071299609,0.335148497,0.610065083,0.70242297,0.869807087,0.005510826,0.298706865,0.989442905,8.27400371,7,0.678063341,0,1
63,0.555527537,0.269881291,0.486742713,0.2758459,0.225390476,0.646753914,0.921133579,0.200474761,0.879853105,0.465807703,0.954360741,8.406634438,7,1.087463841,0,1
64,0.744073621,0.415485674,0.316162198,0.644468701,0.648464036,0.724998598,0.895495963,0.380957221,0.471694667,0.847239472,0.950895751,8.799159248,7,inf,0,1
65,0.923396386,0.888721465,0.089803055,0.966785445,0.133980571,0.426328033,0.858827574,0.454268105,0.128900242,0.308792745,0.976293121,8.350883717,7,0.883161873,0,1
66,0.827083694,0.659759442,0.259556971,0.505096052,0.677517238,0.609658342,0.496752698,0.012078813,0.470816017,0.266042971,0.999999904,8.20870333,8,inf,0,1
67,0.861091671,0.813734243,0.721224673,0.060331483,0.010678222,0.982796028,0.608309623,0.001182072,0.471004517,0.538985368,0.999503069,8.32396648,8,0.093450614,0,1
68,0.864218004,0.217997175,0.625419931,0.411449988,0.591435864,0.548373488,0.297852938,0.792970998,0.514763178,0.26382649,0.999128883,8.348966255,8,0.610434408,0,1
69,0.820746917,0.486284126,0.8477191,0.750862134,0.427643098,0.125319233,0.47465417,0.079138472,0.888155722,0.052957305,0.999993677,8.289763548,8,0.153599293,0,1
70,0.9076292,0.084492441,0.055523545,0.525907528,0.937509225,0.969980835,0.234355904,0.850914189,0.656931863,0.645422579,0.975717536,8.646136757,8,1.235966299,0,1
71,0.735353695,0.603494647,0.680019146,0.583959788,0.573520979,0.361017471,0.958699904,0.986942814,0.387135428,0.836180006,0.958123659,9.021933645,8,inf,0,1
72,0.904845774,0.063271475,0.292299097,0.145026213,0.651545131,0.143706674,0.310967668,0.954781641,0.917504861,0.848547306,0.976938172,8.382183363,8,0.924480183,0,1
73,0.979577211,0.826033248,0.185734988,0.762505698,0.189206656,0.340226565,0.608594637,0.689795327,0.388097426,0.269397532,0.999944267,8.346776371,9,inf,0,1
74,0.69020459,0.647749396,0.353939092,0.763233057,0.356531717,0.75278835,0.881341829,0.011669195,0.49810907,0.073792011,0.999604317,8.381953667,9,0.387690772,0,1
75,0.131213911,0.160427387,0.870081714,0.987101646,0.938849345,0.382035558,0.48224741,0.669888003,0.812797715,0.91803907,0.966515456,9.10497846,9,inf,0,1
76,0.715970511,0.802757503,0.09280081,0.518152548,0.865020246,0.829146911,0.829603365,0.273049977,0.059243197,0.670528041,0.984906508,8.635860166,9,0.559389697,0,1
77,0.540788192,0.447980183,0.892135869,0.377584345,0.538424695,0.652298878,0.361261024,0.571008562,0.637836479,0.126314881,0.987010463,8.498646548,9,0.443428873,0,1
78,0.298680243,0.204358124,0.981756635,0.893021212,0.759348799,0.651120565,0.039683502,0.813876362,0.762573138,0.45528247,0.98474575,8.871410807,9,1.168880355,0,1
79,0.62463048,0.200271406,0.62511159,0.321451832,0.047318229,0.723364752,0.759252001,0.406304301,0.704335028,0.585359213,0.989288759,8.39904572,9,0.530643871,0,1
80,0.816007505,0.045811519,0.387827789,0.458523178,0.735732118,0.909636948,0.277405466,0.817768389,0.65631586,0.011280317,0.999958319,8.364792734,10,0.073909618,0,1
81,0.335672389,0.7045622,0.649134458,0.208790741,0.744471473,0.977717855,0.415604104,0.091558256,0.261298163,0.228854607,0.999999998,8.356694299,10,inf,0,1
82,0.900272953,0.893316339,0.600379833,0.784024822,0.788336595,0.980758772,0.68656318,0.919947228,0.069395964,0.531458322,0.979600398,9.113100643,10,inf,0,1
83,0.299627238,0.537345736,0.340003046,0.484225573,0.868370372,0.800900497,0.546620021,0.181609428,0.700847725,0.783240691,0.986822844,8.752977728,10,1.412294651,0,1
84,0.532418657,0.836448677,0.74406125,0.327867328,0.244692226,0.654545989,0.608782786,0.068067765,0.38659863,0.536384129,0.995759366,8.412594194,10,0.513795731,0,1
85,0.711605854,0.161523388,0.617358958,0.87136507,0.882083931,0.429674662,0.273736427,0.84829649,0.252929431,0.084629002,0.989721469,8.42011593,10,0.888074304,0,1
86,0.645309686,0.660929022,0.43448757,0.434140315,0.179208607,0.65043581,0.913288015,0.051405052,0.734191437,0.328117689,0.999726309,8.402451742,10,0.269030573,0,1
87,0.157579628,0.605103236,0.319223792,0.890517118,0.790373522,0.217499219,0.200208995,0.680440067,0.156216833,0.510360993,0.999986943,8.395315663,11,0.298363072,0,1
88,0.838837851,0.522796034,0.1619379,0.948977016,0.059449076,0.886499484,0.574344223,0.378846893,0.640905261,0.127807003,0.999999957,8.365339159,11,inf,0,1
89,0.660062971,0.690075363,0.168086331,0.685753587,0.60180436,0.654961145,0.517694047,0.069484521,0.473837104,0.484743785,0.999999739,8.385050587,11,0.040385348,0,1
90,0.887308053,0.533934333,0.577279447,0.917498297,0.314146525,0.726138437,0.805235839,0.480062927,0.487574373,0.841410062,0.989101122,8.914478613,11,0.608200963,0,1
91,0.889374748,0.874510266,0.847789981,0.647723855,0.585578659,0.28158279,0.991654004,0.799661193,0.50163623,0.772315333,0.987588781,9.127386822,11,inf,0,1
92,0.88692046,0.886841925,0.515216661,0.267087551,0.88034347,0.497983307,0.333439264,0.894696609,0.204483047,0.819604658,0.989378215,8.773780147,11,0.324677717,0,1
93,0.786951474,0.064067327,0.355310363,0.941836948,0.37980329,0.762920067,0.771594996,0.301360501,0.772739143,0.152929823,0.991250772,8.454480227,11,0.581154191,0,1
94,0.94425897,0.30444683,0.584529504,0.424555175,0.342557441,0.417049095,0.760839249,0.862549521,0.515751355,0.29134823,0.990225908,8.455170283,11,0.452159717,0,1
95,0.470802427,0.693147364,0.639273334,0.295594098,0.348348451,0.131047225,0.514817024,0.607737623,0.205722321,0.992568055,0.996887434,8.421321567,11,0.78153446,0,1
96,0.026220026,0.425571454,0.957836677,0.840763057,0.932998271,0.3091259,0.677620133,0.609056733,0.204430558,0.165721764,0.989741249,8.706362595,11,0.486397793,0,1
97,0.533448493,0.949938134,0.493059594,0.540600509,0.765485107,0.045345725,0.13996612,0.792403579,0.02980136,0.883125472,0.995029676,8.511366063,12,2,0,1
98,0.478580216,0.081346901,0.421842071,0.150521904,0.556960356,0.664400027,0.949376895,0.336972687,0.5084102,0.87511019,0.999457834,8.470562525,12,inf,0,1
99,0.36633466,0.354961913,0.402277326,0.958437264,0.977090799,0.942021145,0.705621133,0.028622288,0.40852572,0.931110572,0.990956637,8.923124067,12,inf,0,1
100,0.865089636,0.073123312,0.660331897,0.18737858,0.522286568,0.903879263,0.475152738,0.847022283,0.838779409,0.139280049,0.998994328,8.513574421,13,2,0,1
101,0.142177864,0.718764901,0.647366897,0.798853515,0.613724616,0.726181961,0.536336538,0.647552451,0.322652855,0.476401959,0.995580032,8.842312561,13,inf,0,1
102,0.688116101,0.608813089,0.106211285,0.280684792,0.776214626,0.890166304,0.510599307,0.715707934,0.077778874,0.615304232,0.99976366,8.485900059,13,inf,0,1
103,0.313273513,0.524548163,0.443452894,0.22957722,0.534413907,0.913962023,0.457204809,0.43069857,0.939127795,0.778389236,0.999276954,8.75330273,14,1.237827302,0,1
104,0.313323616,0.904910092,0.404987901,0.706367555,0.550539241,0.450137938,0.462996437,0.103299628,0.950031715,0.125496084,0.999287352,8.518298684,14,1.223127283,0,1
105,0.694159558,0.542451023,0.786911,0.57546962,0.699373686,0.836862205,0.529454301,0.95146437,0.312523495,0.750524004,0.999080496,9.01798241,14,inf,0,1
106,0.810569763,0.933148603,0.246993354,0.554555606,0.560479508,0.477247647,0.449831519,0.935863495,0.390073381,0.046875806,0.999797377,8.491598848,14,inf,0,1
107,0.968012654,0.359560304,0.554032154,0.411354408,0.966046564,0.203057844,0.992826568,0.659199965,0.809077241,0.458150878,0.999307816,8.814001866,15,1.167644462,0,1
108,0.862911722,0.932257174,0.450758901,0.97499131,0.697937122,0.753610483,0.577774355,0.134606153,0.807699033,0.10466861,0.999304664,8.821773286,15,inf,0,1
109,0.33551129,0.56436443,0.622588575,0.458100952,0.812855245,0.248261225,0.42276573,0.805611323,0.548123048,0.247526549,0.999999999,8.547617781,15,inf,0,1
110,0.662161981,0.827977618,0.846496366,0.55504566,0.67324624,0.498582657,0.007977889,0.712065526,0.508476264,0.190539425,0.999999974,8.584376639,15,0.832355538,0,1
111,0.34972937,0.488800468,0.707031753,0.542846583,0.249790532,0.752821839,0.427212638,0.941078923,0.967517082,0.0321956,0.999804529,8.698743136,15,1.833002782,0,1
112,0.3245175,0.72801164,0.522736625,0.736811463,0.165406113,0.687058299,0.426810844,0.728557397,0.75633539,0.397611277,0.999994407,8.714158265,16,inf,0,1
113,0.855358026,0.931057273,0.438092907,0.052713192,0.547493813,0.202116565,0.85330972,0.72134306,0.931011848,0.485215013,0.999859373,8.719193264,16,inf,0,1
114,0.009319062,0.972103711,0.148839649,0.599692205,0.411832924,0.737848017,0.636540289,0.920947213,0.674171896,0.228417741,0.999972557,8.782943696,17,inf,0,1
115,0.982142362,0.585352986,0.670932013,0.086256544,0.991450569,0.779500188,0.994364796,0.653689756,0.03742794,0.71908936,0.999974461,8.852398546,18,inf,0,1
116,0.502656698,0.165632585,0.556937647,0.810446946,0.136345112,0.775351964,0.982248958,0.942544948,0.33923067,0.693087084,0.999999998,8.80958856,18,inf,0,1
117,0.32881926,0.34406519,0.047463954,0.448607516,0.903231111,0.881428498,0.812955748,0.960227619,0.306550623,0.928266953,0.999999899,8.893979992,19,inf,0,1
118,0.997184808,0.932557361,0.128124448,0.999040515,0.236088976,0.396580726,0.38791074,0.66974604,0.935539073,0.846310918,1,8.857441908,19,inf,0,1
119,0.837803868,0.696005394,0.555059353,0.861189642,0.745321512,0.264549313,0.999769118,0.573731906,0.639058974,0.489699609,0.999999988,8.962019883,20,inf,0,1
,,,,,,,,,,,,,,,,
final_population,,,,,,,,,,,,,,,,
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0.081456796,0,0,0,0,0,0,0,0,0,0.28077532,0.92116522,0,inf,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,inf,0,1
2,0,0,0,0,0,0,0,0,0,0,1,0,0,inf,0,1
3,0.057438829,0,0,0,0,0,0,0,0,0,0.622733598,0.612202866,0,0.05500541,0,1
4,0.392749562,0,0,0,0,0,0,0,0,0,0.889482374,0.208821107,0,0.047171416,0,1
5,0.093473544,0,0,0,0,0,0,0,0,0,0.383791468,0.852704109,0,0.04674288,0,1
6,0.105165094,0,0,0,0,0,0,0,0,0,0.610825001,0.626892818,0,0.046045084,0,1
7,0.220023626,0,0,0,0,0,0,0,0,0,0.849483952,0.278377015,0,0.043973546,0,1
8,0.097066168,0,0,0,0,0,0,0,0,0,0.44654385,0.80059859,0,0.043561822,0,1
9,0.265185155,0,0,0,0,0,0,0,0,0,0.73016936,0.466852706,0,0.042928808,0,1
10,0.247459995,0,0,0,0,0,0,0,0,0,0.630911751,0.601950362,0,0.042250115,0,1
11,0.066339185,0,0,0,0,0,0,0,0,0,0.439321819,0.80699634,0,0.041474821,0,1
12,0.26687804,0,0,0,0,0,0,0,0,0,0.747519949,0.441213925,0,0.041375546,0,1
13,0.225694267,0,0,0,0,0,0,0,0,0,0.788986838,0.37749977,0,0.040347084,0,1
14,0.096107063,0,0,0,0,0,0,0,0,0,0.428824641,0.816109427,0,0.040071517,0,1
15,0.440387734,0,0,0,0,0,0,0,0,0,0.907675975,0.176124325,0,0.039728732,0,1
16,0.222768905,0,0,0,0,0,0,0,0,0,0.820727507,0.326406359,0,0.039326765,0,1
17,0.070596232,0,0,0,0,0,0,0,0,0,0.36681967,0.86544333,0,0.039313652,0,1
18,0.044493575,0,0,0,0,0,0,0,0,0,0.858316816,0.263292243,0,0.039275783,0,1
19,0.094340324,0,0,0,0,0,0,0,0,0,0.397964308,0.841624409,0,0.037849572,0,1
20,0.09765682,0,0,0,0,0,0,0,0,0,0.45774721,0.790467491,0,0.037696791,0,1
21,0.214821248,0,0,0,0,0,0,0,0,0,0.898548852,0.192609961,0,0.0376602,0,1
22,0.051671615,0,0,0,0,0,0,0,0,0,0.739571034,0.453034686,0,0.037467022,0,1
23,0.09304338,0,0,0,0,0,0,0,0,0,0.377019287,0.857856458,0,0.037426814,0,1
24,0.110098678,0,0,0,0,0,0,0,0,0,0.71026211,0.495527735,0,0.03719516,0,1
25,0.090127708,0,0,0,0,0,0,0,0,0,0.336251816,0.886934716,0,0.036583429,0,1
26,0.262191628,0,0,0,0,0,0,0,0,0,0.701389265,0.508053099,0,0.036411185,0,1
27,0.228693017,0,0,0,0,0,0,0,0,0,0.756413534,0.427838566,0,0.035891122,0,1
28,0.059664172,0,0,0,0,0,0,0,0,0,0.575458359,0.668847678,0,0.035842032,0,1
29,0.227227576,0,0,0,0,0,0,0,0,0,0.772256655,0.403619659,0,0.035013011,0,1
30,0.124049744,0,0,0,0,0,0,0,0,0,0.915421195,0.162004036,0,0.033772774,0,1
31,0.060761145,0,0,0,0,0,0,0,0,0,0.552176645,0.695100952,0,0.033604619,0,1
32,0.103842704,0,0,0,0,0,0,0,0,0,0.583290816,0.659771824,0,0.033572263,0,1
33,0.616947528,0,0,0,0,0,0,0,0,0,0.976776938,0.045906812,0,0.033281275,0,1
34,0.095733171,0,0,0,0,0,0,0,0,0,0.422090608,0.821839519,0,0.032809207,0,1
35,0.073493713,0,0,0,0,0,0,0,0,0,0.32818491,0.892294665,0,0.031970239,0,1
36,0.216657431,0,0,0,0,0,0,0,0,0,0.882227552,0.221674547,0,0.031770706,0,1
37,0.094990875,0,0,0,0,0,0,0,0,0,0.40903636,0.832689256,0,0.031681232,0,1
38,0.059933843,0,0,0,0,0,0,0,0,0,0.569724971,0.675413458,0,0.030858779,0,1
39,0.102903328,0,0,0,0,0,0,0,0,0,0.563711799,0.682229008,0,0.030606508,0,1
40,0.098947765,0,0,0,0,0,0,0,0,0,0.48289742,0.766810081,0,0.030474764,0,1
41,0.075651458,0,0,0,0,0,0,0,0,0,0.306308502,0.906175101,0,0.030269822,0,1
42,0.438318723,0,0,0,0,0,0,0,0,0,0.8964304,0.196412537,0,0.030204426,0,1
43,0.060485289,0,0,0,0,0,0,0,0,0,0.558019169,0.688614607,0,0.030011862,0,1
44,0.095310069,0,0,0,0,0,0,0,0,0,0.414596816,0.82810948,0,0.029928721,0,1
45,0.054388699,0,0,0,0,0,0,0,0,0,0.686120065,0.529239257,0,0.029679976,0,1
46,0.238686547,0,0,0,0,0,0,0,0,0,0.664530502,0.558399212,0,0.02956438,0,1
47,0.128180827,0,0,0,0,0,0,0,0,0,0.948921631,0.099547737,0,0.029269921,0,1
48,0.236445666,0,0,0,0,0,0,0,0,0,0.68138803,0.535710353,0,0.029165336,0,1
49,0.119307029,0,0,0,0,0,0,0,0,0,0.861576689,0.257685608,0,0.02904584,0,1
50,0.608476569,0,0,0,0,0,0,0,0,0,0.956483239,0.085139814,0,0.028437652,0,1
51,0.058596045,0,0,0,0,0,0,0,0,0,0.598183125,0.642176949,0,0.028382766,0,1
52,0.130622713,0,0,0,0,0,0,0,0,0,0.963504678,0.071658735,0,0.027995092,0,1
53,0.109455721,0,0,0,0,0,0,0,0,0,0.697787995,0.513091914,0,0.027926561,0,1
54,0.565404148,0,0,0,0,0,0,0,0,0,0.926538229,0.14152691,0,0.027922389,0,1
55,0.099813175,0,0,0,0,0,0,0,0,0,0.500185957,0.749814009,0,0.027854423,0,1
56,0.224917791,0,0,0,0,0,0,0,0,0,0.797464238,0.364050788,0,0.027684684,0,1
57,0.131779558,0,0,0,0,0,0,0,0,0,0.969219269,0.060614008,0,0.027409752,0,1
58,0.084975736,0,0,0,0,0,0,0,0,0,0.290204728,0.915781216,0,0.027333337,0,1
59,0.44493135,0,0,0,0,0,0,0,0,0,0.931086494,0.133077941,0,0.027266073,0,1
60,0.227963089,0,0,0,0,0,0,0,0,0,0.764276988,0.415880686,0,0.027119608,0,1
61,0.071422109,0,0,0,0,0,0,0,0,0,0.354807001,0.874111992,0,0.027101503,0,1
62,0.059069529,0,0,0,0,0,0,0,0,0,0.588110261,0.654126321,0,0.02703124,0,1
63,0.101934573,0,0,0,0,0,0,0,0,0,0.543591225,0.70450858,0,0.026979897,0,1
64,0.104328751,0,0,0,0,0,0,0,0,0,0.593423205,0.6478489,0,0.026977189,0,1
65,0.101494846,0,0,0,0,0,0,0,0,0,0.534504071,0.714305399,0,0.026568662,0,1
66,0.273090087,0,0,0,0,0,0,0,0,0,0.813544098,0.338146,0,0.026518152,0,1
